year,trades,net_acct,win_rate_pct,avg_R,worst_acct
2020,532,-10892.63,30.5,-0.218,-262.4
2021,502,-4679.89,35.3,-0.225,-2033.13
2022,513,-1972.63,34.3,-0.096,-93.26
2023,284,-2467.83,27.8,-0.3,-65.62
