i,side,reason,confluence,agreement,taken,quality
208,1,retest,0.222,partial,True,70.22
285,-1,retest,-0.222,conflict,True,88.72
328,1,retest,0.222,partial,True,81.08
349,1,retest,0.222,partial,True,85.12
416,-1,retest,-0.222,conflict,True,75.41
430,-1,retest,-0.222,conflict,True,89.11
492,-1,retest,0.222,partial,True,71.05
510,-1,retest,0.222,partial,True,82.1
565,-1,retest,0.222,partial,True,79.54
636,1,retest,-0.222,conflict,True,93.64
668,1,retest,0.0,none,True,80.73
725,-1,retest,0.222,partial,True,73.88
763,-1,retest,0.556,partial,True,83.98
799,1,retest,-0.556,conflict,True,96.22
835,1,retest,-0.556,conflict,True,83.55
841,1,retest,-0.556,conflict,True,75.34
906,1,retest,-0.111,conflict,True,97.71
974,1,retest,-0.111,conflict,True,77.41
992,-1,retest,0.111,partial,True,94.41
1021,-1,retest,0.111,partial,True,76.57
1041,1,retest,-0.111,conflict,True,81.43
1061,1,retest,-0.111,conflict,True,76.73
1069,1,retest,-0.111,conflict,True,78.05
1095,1,retest,0.222,partial,True,76.79
1172,1,retest,0.556,partial,True,85.1
1240,-1,retest,-0.556,conflict,True,75.87
1275,-1,retest,-0.333,conflict,True,83.66
1335,1,retest,0.111,partial,True,78.99
1359,1,retest,0.111,partial,True,83.43
1374,1,retest,0.556,partial,True,81.57
1398,-1,retest,-0.556,conflict,True,75.53
1413,-1,retest,-0.111,conflict,True,94.33
1442,1,retest,0.556,partial,True,79.7
1470,1,retest,0.556,partial,True,78.59
1511,-1,retest,-0.556,conflict,True,82.46
1590,1,retest,0.556,partial,True,82.95
1679,-1,retest,-0.556,conflict,True,77.49
1750,-1,retest,-0.111,conflict,True,88.26
1786,1,retest,0.111,partial,True,81.51
1791,1,retest,0.111,partial,True,93.92
1798,1,retest,0.111,partial,True,96.41
1838,1,retest,0.556,partial,True,88.39
1857,1,retest,0.556,partial,True,94.35
1893,1,retest,0.556,partial,True,78.99
1940,-1,retest,-0.556,conflict,True,95.53
1991,1,retest,0.556,partial,True,83.47
2008,1,retest,0.556,partial,True,95.74
2040,-1,retest,-0.556,conflict,True,95.87
2049,-1,retest,-0.556,conflict,True,85.13
2065,-1,retest,-0.556,conflict,True,70.09
2089,-1,retest,-0.333,conflict,True,70.65
