i,side,reason,confluence,agreement,taken,quality
202,1,break_up,-0.222,conflict,True,73.26
212,1,break_up,-0.222,conflict,True,88.29
267,1,break_up,0.0,none,True,71.65
326,-1,break_dn,-0.222,conflict,True,79.34
351,-1,break_dn,0.0,none,True,79.18
443,-1,break_dn,0.222,partial,True,96.96
476,-1,break_dn,0.222,partial,True,85.96
504,-1,break_dn,0.222,partial,True,71.93
526,-1,break_dn,0.222,partial,True,80.09
550,-1,break_dn,0.222,partial,True,95.89
573,-1,break_dn,0.222,partial,True,85.76
605,1,break_up,-0.222,conflict,True,91.73
617,-1,break_dn,0.222,partial,True,74.11
649,1,break_up,-0.222,conflict,True,81.46
742,1,break_up,0.222,partial,True,73.93
821,-1,break_dn,0.111,partial,True,90.09
870,-1,break_dn,0.111,partial,True,83.26
890,1,break_up,-0.111,conflict,True,82.26
915,1,break_up,-0.111,conflict,True,96.9
916,1,break_up,-0.111,conflict,True,91.92
1018,1,break_up,-0.111,conflict,True,75.38
1069,-1,break_dn,0.333,partial,True,85.2
1077,-1,break_dn,0.333,partial,True,77.5
1102,-1,break_dn,0.556,partial,True,95.74
1108,-1,break_dn,0.556,partial,True,70.41
1126,-1,break_dn,0.556,partial,True,78.57
1195,-1,break_dn,0.556,partial,True,84.04
1216,-1,break_dn,0.556,partial,True,80.26
1267,1,break_up,-0.556,conflict,True,89.71
1297,1,break_up,-0.556,conflict,True,70.75
1339,-1,break_dn,0.556,partial,True,80.07
1411,-1,break_dn,0.556,partial,True,88.32
1430,1,break_up,-0.556,conflict,True,81.52
1485,-1,break_dn,0.556,partial,True,85.56
1505,-1,break_dn,0.556,partial,True,85.16
1553,-1,break_dn,0.556,partial,True,70.41
1569,-1,break_dn,0.556,partial,True,78.05
1573,-1,break_dn,0.556,partial,True,92.58
1610,-1,break_dn,0.556,partial,True,99.94
1630,-1,break_dn,0.556,partial,True,71.98
1676,-1,break_dn,0.556,partial,True,79.22
1752,1,break_up,-0.556,conflict,True,84.29
1765,-1,break_dn,0.556,partial,True,75.37
1783,-1,break_dn,0.556,partial,True,88.26
1819,1,break_up,-0.556,conflict,True,78.1
