year,trades,net_acct,win_rate_pct,avg_R,worst_acct
2021,77,902.48,26.0,0.096,-135.59
2022,72,1293.01,26.4,0.146,-140.65
2023,63,2651.49,33.3,0.315,-150.3
2024,79,-1756.69,19.0,-0.152,-155.24
2025,60,1256.39,36.7,0.2,-146.5
2026,52,-60.63,32.7,0.126,-334.36
