time,cash,unrealised,equity,exposure
2021-01-04,25000.0,0.0,25000.0,0.0
2021-01-05,25000.0,0.0,25000.0,0.0
2021-01-06,25000.0,0.0,25000.0,0.0
2021-01-07,25000.0,0.0,25000.0,0.0
2021-01-08,25000.0,0.0,25000.0,0.0
2021-01-11,25000.0,0.0,25000.0,0.0
2021-01-12,25000.0,0.0,25000.0,0.0
2021-01-13,25000.0,0.0,25000.0,0.0
2021-01-14,25000.0,0.0,25000.0,0.0
2021-01-15,25000.0,0.0,25000.0,0.0
2021-01-18,25000.0,0.0,25000.0,0.0
2021-01-19,25000.0,0.0,25000.0,0.0
2021-01-20,25000.0,0.0,25000.0,0.0
2021-01-21,25000.0,0.0,25000.0,0.0
2021-01-22,25000.0,0.0,25000.0,0.0
2021-01-25,25000.0,0.0,25000.0,0.0
2021-01-26,25000.0,0.0,25000.0,0.0
2021-01-27,25000.0,0.0,25000.0,0.0
2021-01-28,25000.0,0.0,25000.0,0.0
2021-01-29,25000.0,0.0,25000.0,0.0
2021-02-01,25000.0,0.0,25000.0,0.0
2021-02-02,25000.0,0.0,25000.0,0.0
2021-02-03,25000.0,0.0,25000.0,0.0
2021-02-04,25000.0,0.0,25000.0,0.0
2021-02-05,25000.0,-26.49940820306338,24973.500591796936,-0.01
2021-02-08,25000.0,-48.55952821345908,24951.44047178654,-0.01
2021-02-09,25000.0,-58.61554959408107,24941.38445040592,-0.01
2021-02-10,25000.0,-64.57805469996572,24935.421945300033,-0.01
2021-02-11,25000.0,-41.70365738987345,24958.296342610127,-0.01
2021-02-12,25000.0,-39.69036032001292,24960.30963967999,-0.01
2021-02-15,25000.0,-32.80540575523281,24967.194594244767,-0.01
2021-02-16,25000.0,-1.3529497022392878,24998.64705029776,-0.01
2021-02-17,25000.0,22.06156266831076,25022.06156266831,-0.01
2021-02-18,25000.0,22.5546152434287,25022.55461524343,-0.01
2021-02-19,25000.0,13.179959363855618,25013.179959363857,-0.01
2021-02-22,25000.0,-20.828596322011276,24979.17140367799,-0.01
2021-02-23,25000.0,-15.468148485511252,24984.53185151449,-0.01
2021-02-24,25000.0,-14.590734626864364,24985.409265373135,-0.01
2021-02-25,25000.0,29.218859284308305,25029.21885928431,-0.01
2021-02-26,25000.0,75.39779286454623,25075.397792864547,-0.01
2021-03-01,25000.0,89.03072716715795,25089.03072716716,-0.01
2021-03-02,25000.0,70.88725412395264,25070.887254123954,-0.01
2021-03-03,25000.0,105.44351443538655,25105.44351443539,-0.01
2021-03-04,25000.0,122.90503727855692,25122.905037278557,-0.01
2021-03-05,25000.0,119.81457901944187,25119.814579019443,-0.01
2021-03-08,25000.0,142.74592262379306,25142.74592262379,-0.01
2021-03-09,25000.0,101.39603641162532,25101.396036411625,-0.01
2021-03-10,25000.0,86.34707454943344,25086.347074549434,-0.01
2021-03-11,25000.0,91.50168115663567,25091.501681156635,-0.01
2021-03-12,25000.0,85.41530040684427,25085.415300406843,-0.01
2021-03-15,25000.0,79.40801701524985,25079.40801701525,-0.01
2021-03-16,25000.0,79.65128587586435,25079.651285875865,-0.01
2021-03-17,25000.0,62.13563131974667,25062.135631319747,-0.01
2021-03-18,25062.23140146608,0.0,25062.23140146608,0.0
2021-03-19,25062.23140146608,0.0,25062.23140146608,0.0
2021-03-22,25062.23140146608,0.0,25062.23140146608,0.0
2021-03-23,25062.23140146608,0.0,25062.23140146608,0.0
2021-03-24,25062.23140146608,0.0,25062.23140146608,0.0
2021-03-25,25062.23140146608,0.0,25062.23140146608,0.0
2021-03-26,25062.23140146608,0.0,25062.23140146608,0.0
2021-03-29,25062.23140146608,0.0,25062.23140146608,0.0
2021-03-30,25062.23140146608,0.0,25062.23140146608,0.0
2021-03-31,25062.23140146608,0.0,25062.23140146608,0.0
2021-04-01,25062.23140146608,0.0,25062.23140146608,0.0
2021-04-05,25062.23140146608,0.0,25062.23140146608,0.0
2021-04-06,25062.23140146608,0.0,25062.23140146608,0.0
2021-04-07,25062.23140146608,0.0,25062.23140146608,0.0
