year,trades,net_acct,win_rate_pct,avg_R,worst_acct
2021,7,-224.05,28.6,-0.283,-123.28
2022,7,-85.04,57.1,-0.151,-106.25
2023,9,-28.74,33.3,0.036,-98.89
2024,9,-130.09,22.2,0.019,-124.4
2025,3,956.87,66.7,2.819,-132.05
