time,cash,unrealised,equity,exposure
2021-01-04 01:00:00,25000.0,0.0,25000.0,0.0
2021-01-04 01:15:00,25000.0,0.0,25000.0,0.0
2021-01-04 01:30:00,25000.0,0.0,25000.0,0.0
2021-01-04 01:45:00,25000.0,0.0,25000.0,0.0
2021-01-04 02:00:00,25000.0,0.0,25000.0,0.0
2021-01-04 02:15:00,25000.0,0.0,25000.0,0.0
2021-01-04 02:30:00,25000.0,0.0,25000.0,0.0
2021-01-04 02:45:00,25000.0,0.0,25000.0,0.0
2021-01-04 03:00:00,25000.0,0.0,25000.0,0.0
2021-01-04 03:15:00,25000.0,0.0,25000.0,0.0
2021-01-04 03:30:00,25000.0,0.0,25000.0,0.0
2021-01-04 03:45:00,25000.0,0.0,25000.0,0.0
2021-01-04 04:00:00,25000.0,0.0,25000.0,0.0
2021-01-04 04:15:00,25000.0,0.0,25000.0,0.0
2021-01-04 04:30:00,25000.0,0.0,25000.0,0.0
2021-01-04 04:45:00,25000.0,0.0,25000.0,0.0
2021-01-04 05:00:00,25000.0,0.0,25000.0,0.0
2021-01-04 05:15:00,25000.0,0.0,25000.0,0.0
2021-01-04 05:30:00,25000.0,0.0,25000.0,0.0
2021-01-04 05:45:00,25000.0,0.0,25000.0,0.0
2021-01-04 06:00:00,25000.0,0.0,25000.0,0.0
2021-01-04 06:15:00,25000.0,0.0,25000.0,0.0
2021-01-04 06:30:00,25000.0,0.0,25000.0,0.0
2021-01-04 06:45:00,25000.0,0.0,25000.0,0.0
2021-01-04 07:00:00,25000.0,0.0,25000.0,0.0
2021-01-04 07:15:00,25000.0,0.0,25000.0,0.0
2021-01-04 07:30:00,25000.0,0.0,25000.0,0.0
2021-01-04 07:45:00,25000.0,0.0,25000.0,0.0
2021-01-04 08:00:00,25000.0,0.0,25000.0,0.0
2021-01-04 08:15:00,25000.0,0.0,25000.0,0.0
2021-01-04 08:30:00,25000.0,0.0,25000.0,0.0
2021-01-04 08:45:00,25000.0,0.0,25000.0,0.0
2021-01-04 09:00:00,25000.0,0.0,25000.0,0.0
2021-01-04 09:15:00,25000.0,0.0,25000.0,0.0
2021-01-04 09:30:00,25000.0,0.0,25000.0,0.0
2021-01-04 09:45:00,25000.0,0.0,25000.0,0.0
2021-01-04 10:00:00,25000.0,0.0,25000.0,0.0
2021-01-04 10:15:00,25000.0,154.5471489081034,25154.547148908103,0.17
2021-01-04 10:30:00,25000.0,105.54502905907758,25105.545029059078,0.17
2021-01-04 10:45:00,25000.0,93.8987853281439,25093.898785328143,0.17
2021-01-04 11:00:00,25000.0,78.55350750215749,25078.553507502158,0.17
2021-01-04 11:15:00,25000.0,96.36077007198868,25096.360770071988,0.17
2021-01-04 11:30:00,25000.0,80.53209223213707,25080.532092232137,0.17
2021-01-04 11:45:00,25000.0,95.48139908088665,25095.481399080887,0.17
2021-01-04 12:00:00,25000.0,94.81206201673815,25094.81206201674,0.17
2021-01-04 12:15:00,25000.0,27.327320111288024,25027.32732011129,0.17
2021-01-04 12:30:00,25000.0,95.69134204156909,25095.69134204157,0.17
2021-01-04 12:45:00,25000.0,125.80668289188219,25125.80668289188,0.17
2021-01-04 13:00:00,25000.0,146.01232216041566,25146.012322160415,0.17
2021-01-04 13:15:00,25000.0,164.9430347165776,25164.943034716576,0.17
2021-01-04 13:30:00,25000.0,149.31419062951107,25149.31419062951,0.17
2021-01-04 13:45:00,25000.0,124.66023939357876,25124.66023939358,0.17
2021-01-04 14:00:00,25000.0,123.8952477173394,25123.89524771734,0.17
2021-01-04 14:15:00,25000.0,122.1326079050053,25122.132607905005,0.17
2021-01-04 14:30:00,25000.0,82.03255217448323,25082.03255217448,0.17
