year,trades,net_acct,win_rate_pct,avg_R,worst_acct
2021,789,-8909.28,29.4,-0.108,-179.78
2022,772,-2138.63,30.6,-0.035,-230.65
2023,757,-1854.95,28.7,-0.031,-74.92
2024,784,-1319.79,29.1,-0.027,-117.45
2025,701,3467.61,32.0,0.099,-90.58
2026,469,763.32,33.7,0.036,-76.05
