year,trades,net_acct,win_rate_pct,avg_R,worst_acct
2007,18,-258.16,33.3,-0.133,-127.88
2008,16,1559.62,31.2,0.593,-125.35
2009,15,-322.37,20.0,-0.196,-123.09
2010,19,-135.35,31.6,-0.051,-129.97
2011,23,-814.13,30.4,-0.292,-131.6
2012,22,-2233.04,0.0,-0.871,-125.1
2013,16,1814.82,43.8,1.167,-123.71
2014,21,2860.36,19.0,1.137,-125.15
2015,25,-1326.71,12.0,-0.41,-195.55
2016,16,735.4,37.5,0.377,-136.99
2017,18,-491.61,33.3,-0.224,-133.36
2018,16,-204.74,18.8,-0.101,-136.67
2019,22,111.16,31.8,0.018,-147.85
2020,21,-1316.99,28.6,-0.512,-135.71
2021,27,81.32,14.8,0.075,-132.19
2022,15,277.42,20.0,0.155,-128.15
2023,21,-263.36,33.3,-0.092,-126.92
2024,12,1731.54,50.0,1.135,-127.05
2025,26,-1578.24,15.4,-0.479,-286.98
2026,12,-1252.8,0.0,-0.881,-125.51
