i,side,reason,confluence,agreement,taken,quality,dist_atr
49836,1,bounce_support,1.0,full,True,93.3,0.33839590828846516
49854,1,bounce_support,1.0,full,True,92.93,0.19472442184447247
49868,1,bounce_support,1.0,full,True,95.13,0.16792809194959582
49902,1,bounce_support,1.0,full,True,80.66,0.3155657507435681
49935,1,bounce_support,1.0,full,True,96.03,0.45808195214139835
50014,-1,bounce_resistance,-1.0,conflict,True,82.8,0.0785419276437468
50025,-1,bounce_resistance,-0.778,conflict,True,86.8,0.3543727991452044
50032,-1,bounce_resistance,-0.556,conflict,True,97.87,0.49840163355428785
50092,1,bounce_support,1.0,full,True,81.7,0.3437901558826527
50114,1,bounce_support,1.0,full,True,97.81,0.4310206945772615
50140,1,bounce_support,1.0,full,True,96.83,0.23736100858913378
50177,1,bounce_support,1.0,full,True,86.81,0.19983739343171547
50258,-1,bounce_resistance,-1.0,conflict,True,85.65,0.4029701978424796
50322,1,bounce_support,0.778,partial,True,92.17,0.18490619578753603
50356,1,bounce_support,1.0,full,True,83.76,0.20908585123108742
50435,1,bounce_support,1.0,full,True,82.43,0.3610644697204301
50481,-1,bounce_resistance,-1.0,conflict,True,92.91,0.34926655100298637
50488,-1,bounce_resistance,-1.0,conflict,True,90.54,0.37605920677932875
50508,-1,bounce_resistance,-1.0,conflict,True,91.37,0.3681268529035544
50518,1,bounce_support,1.0,full,True,94.58,0.464742027148052
50638,1,bounce_support,1.0,full,True,84.25,0.3156595130520329
50699,-1,bounce_resistance,-1.0,conflict,True,84.16,0.015253724978361628
50722,-1,bounce_resistance,-1.0,conflict,True,96.98,0.31409570801504894
50767,-1,bounce_resistance,-0.778,conflict,True,82.87,0.45470646852329666
50800,1,bounce_support,1.0,full,True,83.68,0.32321633359717344
50844,1,bounce_support,1.0,full,True,85.11,0.4447149306748092
50887,-1,bounce_resistance,-1.0,conflict,True,86.16,0.16400642187865888
50909,-1,bounce_resistance,-1.0,conflict,True,86.09,0.12122178870593109
50929,-1,bounce_resistance,-1.0,conflict,True,86.41,0.21284352347234833
50967,-1,bounce_resistance,-0.556,conflict,True,69.54,0.43127262106660785
51011,1,bounce_support,0.556,partial,True,96.44,0.3190432715745284
51035,-1,bounce_resistance,-0.556,conflict,True,79.97,0.3711671220676838
51064,1,bounce_support,0.556,partial,True,97.67,0.15537490591509273
51108,-1,bounce_resistance,-0.556,conflict,True,89.01,0.029082212018245665
51171,1,bounce_support,1.0,full,True,85.91,0.3619728800092963
51174,1,bounce_support,1.0,full,True,79.33,0.31110732741325536
51176,1,bounce_support,1.0,full,True,93.13,0.38629939070194924
51183,1,bounce_support,1.0,full,True,91.02,0.14987168764851122
51202,1,bounce_support,1.0,full,True,83.67,0.4917455177842261
51216,1,bounce_support,1.0,full,True,97.52,0.07682779049841638
51243,-1,bounce_resistance,-1.0,conflict,True,92.15,0.1413608123491339
51255,-1,bounce_resistance,-1.0,conflict,True,95.3,0.2349581768724781
51289,1,bounce_support,1.0,full,True,90.4,0.217574535256022
51311,1,bounce_support,1.0,full,True,88.69,0.3037855420799335
51329,1,bounce_support,1.0,full,True,93.65,0.25592914931488475
51388,1,bounce_support,1.0,full,True,91.53,0.09158604416575525
51417,1,bounce_support,1.0,full,True,82.64,0.38749473673255924
51479,1,bounce_support,1.0,full,True,84.32,0.04339880037633992
51510,1,bounce_support,1.0,full,True,82.15,0.34959533727171443
51531,-1,bounce_resistance,-1.0,conflict,True,85.63,0.13582890331702877
51555,1,bounce_support,1.0,full,True,76.78,0.45177492297594585
51590,1,bounce_support,1.0,full,True,74.15,0.14214957910605003
51648,1,bounce_support,1.0,full,True,88.05,0.34331545767851585
51664,1,bounce_support,1.0,full,True,97.71,0.46762077932403645
51671,1,bounce_support,1.0,full,True,98.3,0.17762880354219324
51721,-1,bounce_resistance,-0.778,conflict,True,82.08,0.05720019134811418
51730,-1,bounce_resistance,-0.556,conflict,True,91.33,0.20807882685198906
51755,-1,bounce_resistance,-0.556,conflict,True,85.64,0.4646070105284562
51787,1,bounce_support,0.556,partial,True,88.95,0.4978824654655887
51817,1,bounce_support,0.556,partial,True,90.18,0.2030632364606031
51832,-1,bounce_resistance,-0.556,conflict,True,92.63,0.2512058445067539
51855,-1,bounce_resistance,-0.556,conflict,True,83.27,0.21605722916655848
51891,-1,bounce_resistance,-0.556,conflict,True,92.83,0.3069705304148405
51988,-1,bounce_resistance,-0.556,conflict,True,80.19,0.12770572051834495
52047,-1,bounce_resistance,-0.556,conflict,True,84.97,0.20673954299122344
52080,-1,bounce_resistance,0.111,partial,True,94.59,0.29903141930060173
52135,-1,bounce_resistance,0.111,partial,True,93.88,0.4467808953673158
52139,-1,bounce_resistance,0.111,partial,True,91.17,0.43443806666516493
52141,-1,bounce_resistance,0.111,partial,True,97.45,0.08745178684554807
52222,1,bounce_support,-0.111,conflict,True,81.3,0.4335784208906009
52264,1,bounce_support,0.333,partial,True,91.97,0.2181808641027441
52292,1,bounce_support,0.333,partial,True,90.68,0.2745002754075017
52312,-1,bounce_resistance,-0.333,conflict,True,97.84,0.29071016297084684
52376,-1,bounce_resistance,0.111,partial,True,81.23,0.37666829577395283
52401,-1,bounce_resistance,0.111,partial,True,84.76,0.4186421165898391
52437,-1,bounce_resistance,0.111,partial,True,95.75,0.06692761268368776
52471,1,bounce_support,0.111,partial,True,95.18,0.12884446667149602
52500,1,bounce_support,0.333,partial,True,94.07,0.08842129106793448
52504,1,bounce_support,0.333,partial,True,84.28,0.09922763177059042
52547,-1,bounce_resistance,0.111,partial,True,97.98,0.017439812328012217
52572,-1,bounce_resistance,0.111,partial,True,94.19,0.3834219951928747
52628,1,bounce_support,0.111,partial,True,85.86,0.4065007855859724
52665,1,bounce_support,0.333,partial,True,85.8,0.3063368595691222
52724,1,bounce_support,0.333,partial,True,96.57,0.4020361598744357
52809,-1,bounce_resistance,-1.0,conflict,True,86.53,0.3547011992578586
52886,-1,bounce_resistance,-0.556,conflict,True,87.17,0.45874286338174275
52927,-1,bounce_resistance,-0.222,conflict,True,86.69,0.36324816979559466
52991,-1,bounce_resistance,0.111,partial,True,96.44,0.38348519725857655
53014,1,bounce_support,-0.111,conflict,True,68.94,0.4369496218673513
53054,1,bounce_support,-0.111,conflict,True,90.65,0.07205919539497668
53101,1,bounce_support,0.111,partial,True,98.02,0.49754527575480795
53122,1,bounce_support,0.333,partial,True,97.52,0.25561190829014613
53148,-1,bounce_resistance,-0.111,conflict,True,91.25,0.3349620485785069
53161,-1,bounce_resistance,-0.111,conflict,True,90.38,0.4538811215169678
53190,1,bounce_support,0.333,partial,True,70.59,0.27960832703544053
53203,1,bounce_support,0.333,partial,True,85.17,0.19867328638455248
53215,-1,bounce_resistance,-0.333,conflict,True,85.37,0.39173254401165997
