year,trades,net_acct,win_rate_pct,avg_R,worst_acct
2020,682,-7143.97,39.3,-0.097,-351.67
2021,695,-7435.7,37.0,-0.156,-294.15
2022,687,-2723.13,38.6,-0.089,-175.64
2023,418,-2698.34,33.5,-0.221,-64.84
