i,side,reason,confluence,agreement,taken,quality
282,1,retest,-0.222,conflict,True,93.23
308,1,retest,0.0,none,True,92.3
333,1,retest,0.222,partial,True,82.95
377,1,retest,0.222,partial,True,71.48
421,1,retest,0.0,none,True,85.04
489,1,retest,0.222,partial,True,75.47
603,1,retest,0.222,partial,True,86.3
625,1,retest,0.222,partial,True,88.61
656,-1,retest,-0.222,conflict,True,81.52
793,1,retest,0.222,partial,True,69.94
869,-1,retest,-0.556,conflict,True,73.76
913,-1,retest,-0.556,conflict,True,74.44
990,1,retest,0.556,partial,True,90.41
1033,1,retest,0.556,partial,True,80.89
1066,1,retest,0.556,partial,True,81.18
1089,1,retest,0.556,partial,True,96.76
1159,1,retest,0.556,partial,True,75.69
1205,1,retest,0.556,partial,True,74.8
1257,1,retest,0.556,partial,True,89.59
1323,-1,retest,-0.111,conflict,True,75.51
1443,-1,retest,-0.111,conflict,True,93.85
1446,-1,retest,-0.111,conflict,True,66.71
1456,-1,retest,-0.111,conflict,True,79.31
1509,-1,retest,-0.111,conflict,True,81.14
1531,-1,retest,-0.111,conflict,True,77.01
1584,1,retest,-0.222,conflict,True,78.2
1611,-1,retest,0.222,partial,True,86.84
1760,1,retest,-0.556,conflict,True,91.23
1800,1,retest,-0.556,conflict,True,77.47
1827,1,retest,-0.556,conflict,True,77.46
1872,-1,retest,0.333,partial,True,94.5
1889,1,retest,-0.333,conflict,True,85.89
1897,1,retest,-0.333,conflict,True,84.18
1929,-1,retest,0.556,partial,True,94.78
1997,-1,retest,0.556,partial,True,76.75
2098,-1,retest,0.556,partial,True,71.36
2163,-1,retest,0.556,partial,True,90.17
2233,1,retest,-0.556,conflict,True,77.92
2246,1,retest,-0.333,conflict,True,76.69
2326,1,retest,-0.111,conflict,True,81.21
2353,1,retest,0.222,partial,True,75.71
2368,1,retest,0.556,partial,True,87.36
2431,1,retest,0.556,partial,True,72.82
2469,1,retest,0.556,partial,True,73.99
2528,-1,retest,-0.556,conflict,True,89.96
2552,-1,retest,-0.556,conflict,True,84.18
2566,-1,retest,-0.556,conflict,True,79.89
2588,-1,retest,-0.556,conflict,True,68.71
2602,-1,retest,-0.556,conflict,True,81.32
2693,1,retest,0.111,partial,True,87.56
2739,1,retest,0.556,partial,True,69.94
2759,1,retest,0.556,partial,True,79.23
2815,1,retest,0.556,partial,True,80.58
2850,1,retest,0.556,partial,True,95.64
2975,1,retest,0.111,partial,True,87.62
3010,-1,retest,-0.111,conflict,True,73.83
3043,-1,retest,-0.111,conflict,True,77.27
3100,1,retest,0.111,partial,True,87.78
3153,1,retest,0.556,partial,True,90.76
3208,-1,retest,-0.111,conflict,True,68.12
3269,1,retest,0.333,partial,True,90.7
3305,1,retest,0.556,partial,True,77.73
3377,1,retest,0.556,partial,True,70.28
3381,1,retest,0.556,partial,True,84.41
3419,1,retest,0.556,partial,True,78.55
3446,1,retest,0.556,partial,True,71.31
3510,-1,retest,-0.556,conflict,True,68.16
3571,-1,retest,-0.556,conflict,True,77.57
3630,-1,retest,-0.111,conflict,True,81.56
3687,-1,retest,-0.111,conflict,True,81.79
3700,-1,retest,-0.111,conflict,True,90.47
3800,1,retest,0.111,partial,True,75.33
3865,-1,retest,0.222,partial,True,76.83
3898,-1,retest,0.556,partial,True,95.84
3909,-1,retest,0.556,partial,True,87.93
3940,-1,retest,0.556,partial,True,80.28
3979,-1,retest,0.556,partial,True,82.74
4068,1,retest,-0.556,conflict,True,90.63
4199,-1,retest,0.556,partial,True,78.79
4211,-1,retest,0.556,partial,True,96.26
4280,1,retest,-0.556,conflict,True,76.84
