pattern_id,stop_atr,target_atr,rr,n_events,n_decided,chop_pct,undefined,hold_pct,base_pct,base_flat_pct,fair_pct,dev_pp,edge_R,z,p_binom,z_shift,p,p_perm,folds_agree,fold_frac,survives_bh,beats_expected_max
tl_approach_resistance,0.4,2.0,5.0,605,605,0.0,0,12.89,15.98,15.46,16.67,-3.08,-0.1851,-2.08,0.0378428172677174,-1.08,0.2815638095405171,0.28428927680798005,1/4,0.25,False,False
tl_approach_resistance,0.8,0.8,1.0,605,605,0.0,0,43.64,47.89,47.16,50.0,-4.25,-0.085,-2.1,0.03604760902781452,-1.07,0.2846679743562345,0.286783042394015,2/4,0.5,False,False
tl_approach_resistance,0.8,1.2,1.5,605,605,0.0,0,34.05,38.19,37.54,40.0,-4.14,-0.1036,-2.1,0.03551622535221013,-1.02,0.3078718757995602,0.30673316708229426,1/4,0.25,False,False
tl_approach_resistance,0.6,3.0,5.0,605,605,0.0,0,13.06,15.73,15.14,16.67,-2.67,-0.1601,-1.81,0.07021598886691595,-0.92,0.35517748770900437,0.39650872817955113,1/4,0.25,False,False
tl_approach_support,0.4,1.6,4.0,697,697,0.0,0,18.36,20.94,20.98,20.0,-2.57,-0.1285,-1.67,0.09464904990854868,-0.88,0.3802555066292109,0.38403990024937656,1/4,0.25,False,False
tl_approach_resistance,0.4,3.0,7.5,605,605,0.0,0,9.09,11.2,10.72,11.76,-2.11,-0.1792,-1.65,0.09906206125807035,-0.88,0.38107358101409977,0.3940149625935162,1/4,0.25,False,False
tl_approach_support,1.5,1.6,1.07,697,697,0.0,0,46.92,50.13,50.53,48.39,-3.22,-0.0665,-1.71,0.087735076191905,-0.87,0.3818306565360039,0.4114713216957606,0/4,0.0,False,False
tl_approach_support,1.0,0.8,0.8,697,697,0.0,0,52.37,55.38,55.77,55.56,-3.02,-0.0543,-1.61,0.10846058988265553,-0.83,0.4037535062151425,0.44389027431421446,1/4,0.25,False,False
tl_approach_resistance,0.6,1.6,2.67,605,605,0.0,0,23.14,26.16,25.54,27.27,-3.02,-0.1108,-1.7,0.08998372707170149,-0.81,0.4156547442207579,0.4314214463840399,2/4,0.5,False,False
tl_approach_support,1.5,0.8,0.53,697,697,0.0,0,62.98,65.87,66.25,65.22,-2.88,-0.0442,-1.61,0.10747554098673079,-0.79,0.42932763071643565,0.44389027431421446,1/4,0.25,False,False
tl_approach_resistance,1.0,2.0,2.0,605,605,0.0,0,28.43,31.56,30.79,33.33,-3.13,-0.0938,-1.66,0.09627579553999799,-0.75,0.45498417132264996,0.47381546134663344,2/4,0.5,False,False
tl_approach_resistance,0.8,2.0,2.5,605,605,0.0,0,24.3,27.15,26.45,28.57,-2.85,-0.0998,-1.58,0.11347360654537011,-0.74,0.46022195517647807,0.4763092269326683,1/4,0.25,False,False
tl_approach_support,0.4,1.2,3.0,697,697,0.0,0,23.39,25.62,25.74,25.0,-2.24,-0.0895,-1.35,0.17543446125616255,-0.74,0.4596024196266586,0.4763092269326683,2/4,0.5,False,False
tl_approach_resistance,1.0,1.6,1.6,605,605,0.0,0,33.72,36.96,36.24,38.46,-3.24,-0.0842,-1.66,0.09746980331148006,-0.74,0.4593169402494092,0.4513715710723192,2/4,0.5,False,False
tl_approach_support,0.4,2.0,5.0,697,697,0.0,0,16.21,18.13,18.31,16.67,-1.92,-0.1151,-1.32,0.18787474600313397,-0.71,0.4777611506798339,0.5087281795511222,1/4,0.25,False,False
tl_approach_support,1.5,2.0,1.33,697,694,0.4,0,43.08,45.54,46.08,42.86,-2.45,-0.0572,-1.31,0.1918824354271324,-0.69,0.4894396012448268,0.5062344139650873,1/4,0.25,False,False
tl_approach_support,0.8,3.0,3.75,697,696,0.1,0,20.98,23.12,23.73,21.05,-2.14,-0.1019,-1.35,0.17743665706386746,-0.67,0.5029819479200802,0.5411471321695761,0/4,0.0,False,False
tl_approach_support,0.6,3.0,5.0,697,697,0.0,0,16.93,18.53,19.02,16.67,-1.6,-0.0959,-1.09,0.27552519277148124,-0.59,0.5572978712573678,0.5885286783042394,1/4,0.25,False,False
tl_approach_resistance,0.8,3.0,3.75,605,603,0.3,0,17.91,19.55,18.87,21.05,-1.64,-0.0777,-1.02,0.3083763992145724,-0.5,0.6146838483113352,0.6408977556109726,1/4,0.25,False,False
tl_approach_resistance,0.8,1.6,2.0,605,605,0.0,0,29.75,31.82,31.1,33.33,-2.07,-0.062,-1.1,0.2734142737999462,-0.49,0.6263000653974644,0.6334164588528678,2/4,0.5,False,False
tl_approach_support,0.4,0.8,2.0,697,697,0.0,0,31.28,32.67,32.81,33.33,-1.4,-0.0419,-0.79,0.4317131692328694,-0.43,0.6668546921806,0.6957605985037406,2/4,0.5,False,False
tl_approach_resistance,1.0,3.0,3.0,605,603,0.3,0,21.56,23.15,22.22,25.0,-1.59,-0.0637,-0.93,0.35024702676606667,-0.43,0.6662915408625117,0.6683291770573566,2/4,0.5,False,False
tl_approach_support,1.0,3.0,3.0,697,696,0.1,0,26.15,27.37,28.15,25.0,-1.22,-0.049,-0.73,0.46649780173235017,-0.41,0.6786589570274267,0.7231920199501247,1/4,0.25,False,False
tl_approach_support,0.4,3.0,7.5,697,697,0.0,0,12.77,13.23,13.56,11.76,-0.47,-0.0396,-0.36,0.7160580192679266,-0.28,0.7820729364519029,0.7880299251870324,2/4,0.5,False,False
tl_approach_support,1.5,3.0,2.0,697,691,0.9,0,36.9,36.87,37.37,33.33,0.04,0.0011,0.02,0.983326488504511,-0.09,0.9305901693858469,0.9501246882793017,1/4,0.25,False,False
