pattern_id,stop_atr,target_atr,rr,n_events,n_decided,chop_pct,undefined,hold_pct,base_pct,base_flat_pct,fair_pct,dev_pp,edge_R,gross_R,friction_R,net_R,z,p_binom,z_shift,p,p_perm,folds_agree,fold_frac,survives_bh,beats_expected_max
baaaa|ba,1.0,1.0,1.0,1019,1018,0.1,0,53.93,49.36,49.29,50.0,4.57,0.0913,0.0786,0.2023,-0.1237,2.92,0.003546193409831409,3.0,0.002714367586452535,0.009950248756218905,4/4,1.0,False,False
baaaa|ab,0.5,1.0,2.0,1128,1127,0.1,0,36.47,32.33,32.29,33.33,4.14,0.1241,0.0941,0.4085,-0.3145,2.97,0.0029717605113460752,3.0,0.00273617002564314,0.004975124378109453,4/4,1.0,False,False
dddcb|aa,0.5,3.0,6.0,692,672,2.9,0,16.82,13.13,13.24,14.29,3.68,0.2579,0.1771,0.4062,-0.2291,2.83,0.004656735385327295,2.98,0.002925458018509324,0.009950248756218905,3/4,0.75,False,False
abbbc|bc,1.0,1.0,1.0,436,436,0.0,0,42.66,49.28,49.29,50.0,-6.62,-0.1325,-0.1468,0.2117,-0.3585,-2.77,0.005649766589854361,-2.98,0.0028950854128338326,0.009950248756218905,1/4,0.25,False,False
cdddd|bc,1.0,3.0,3.0,997,943,5.4,0,19.3,23.35,23.32,25.0,-4.05,-0.1622,-0.228,0.2032,-0.4312,-2.95,0.0032223197536480988,-2.96,0.0030282235926364486,0.004975124378109453,0/4,0.0,False,False
baaaa|ab,1.0,1.0,1.0,1128,1125,0.3,0,53.87,49.38,49.29,50.0,4.48,0.0896,0.0773,0.2043,-0.1269,3.01,0.0026289817719355227,2.95,0.0031619539630522884,0.004975124378109453,4/4,1.0,False,False
ddddd|bc,0.5,2.0,4.0,3283,3271,0.4,0,17.52,19.36,19.3,20.0,-1.84,-0.0922,-0.1241,0.3944,-0.5186,-2.67,0.007604583827867244,-2.91,0.0035982476123686455,0.009950248756218905,0/4,0.0,False,False
aaaaa|aa,1.0,1.0,1.0,3190,3187,0.1,0,52.12,49.26,49.29,50.0,2.86,0.0571,0.0424,0.1927,-0.1504,3.23,0.001254153332652555,2.9,0.0036938187322384324,0.009950248756218905,3/4,0.75,False,False
cbbcc|cc,0.5,2.0,4.0,343,342,0.3,0,13.45,19.35,19.3,20.0,-5.9,-0.295,-0.3275,0.4342,-0.7617,-2.76,0.005715700736753878,-2.9,0.0037758792540387603,0.009950248756218905,0/4,0.0,False,False
ddddd|cb,1.0,1.0,1.0,3401,3392,0.3,0,46.7,49.31,49.29,50.0,-2.61,-0.0523,-0.066,0.1956,-0.2616,-3.05,0.0023091275635735097,-2.88,0.003950558080023683,0.004975124378109453,0/4,0.0,False,False
cdddd|bc,0.5,3.0,6.0,997,983,1.4,0,9.97,13.24,13.24,14.29,-3.27,-0.2288,-0.3021,0.4063,-0.7085,-3.03,0.0024797009841879395,-2.84,0.004564984496812662,0.004975124378109453,0/4,0.0,False,False
abbcc|cb,0.5,1.0,2.0,427,427,0.0,0,26.7,32.31,32.29,33.33,-5.61,-0.1683,-0.1991,0.4146,-0.6137,-2.48,0.01316158674159802,-2.79,0.00520560665695834,0.004975124378109453,1/4,0.25,False,False
bbccc|bc,1.0,2.0,2.0,393,385,2.0,0,25.45,32.47,32.45,33.33,-7.02,-0.2105,-0.2364,0.2169,-0.4532,-2.94,0.003257153671190601,-2.76,0.0057962540103625535,0.009950248756218905,0/4,0.0,False,False
cbbbb|ba,1.0,1.0,1.0,488,487,0.2,0,55.44,49.26,49.29,50.0,6.18,0.1237,0.1088,0.2116,-0.1028,2.73,0.006325973571992181,2.74,0.006227089693917489,0.009950248756218905,4/4,1.0,False,False
dccdd|cc,0.5,1.0,2.0,467,467,0.0,0,26.12,32.23,32.29,33.33,-6.1,-0.183,-0.2163,0.4006,-0.6169,-2.82,0.004768558838702937,-2.73,0.006337437078298522,0.004975124378109453,0/4,0.0,False,False
abbaa|aa,0.5,1.0,2.0,429,429,0.0,0,38.23,32.22,32.29,33.33,6.01,0.1802,0.1469,0.3943,-0.2474,2.66,0.007746774791941826,2.73,0.006365474484176241,0.01990049751243781,3/4,0.75,False,False
dccdd|cc,1.0,1.0,1.0,467,467,0.0,0,42.83,49.16,49.29,50.0,-6.34,-0.1267,-0.1435,0.2003,-0.3438,-2.74,0.006128315887095624,-2.73,0.0064090619900069356,0.009950248756218905,0/4,0.0,False,False
baaaa|ca,0.5,1.0,2.0,501,501,0.0,0,38.12,32.23,32.29,33.33,5.9,0.1769,0.1437,0.3876,-0.2439,2.82,0.004734718679154476,2.71,0.00668279796348567,0.014925373134328358,4/4,1.0,False,False
baaaa|ab,0.5,3.0,6.0,1128,1103,2.2,0,16.05,13.28,13.24,14.29,2.77,0.1939,0.1233,0.4085,-0.2852,2.71,0.006663189242498312,2.71,0.006636166138598419,0.009950248756218905,4/4,1.0,False,False
bbaaa|aa,0.5,3.0,6.0,446,440,1.3,0,17.27,13.21,13.24,14.29,4.07,0.2847,0.2091,0.4194,-0.2103,2.52,0.011673295610480548,2.7,0.0069670687308433805,0.009950248756218905,4/4,1.0,False,False
cdddd|bc,1.0,2.0,2.0,997,976,2.1,0,28.48,32.5,32.45,33.33,-4.02,-0.1206,-0.1455,0.2032,-0.3487,-2.68,0.0072908813943087574,-2.7,0.0069887849100756065,0.009950248756218905,0/4,0.0,False,False
dccbb|ab,0.5,1.0,2.0,409,409,0.0,0,38.63,32.38,32.29,33.33,6.25,0.1874,0.1589,0.3998,-0.2409,2.7,0.006929466374232651,2.69,0.007097511080318599,0.004975124378109453,4/4,1.0,False,False
ccccd|bc,1.0,2.0,2.0,525,518,1.3,0,26.83,32.45,32.45,33.33,-5.62,-0.1685,-0.195,0.2152,-0.4102,-2.73,0.0062962361246879876,-2.68,0.007453977566732317,0.024875621890547265,0/4,0.0,False,False
ddddd|ac,0.5,3.0,6.0,2111,2073,1.8,0,11.14,13.11,13.24,14.29,-1.96,-0.1375,-0.22,0.3867,-0.6067,-2.65,0.008022364814458364,-2.65,0.00813890492887004,0.004975124378109453,0/4,0.0,False,False
abbaa|aa,1.0,3.0,3.0,429,406,5.4,0,28.33,23.26,23.32,25.0,5.06,0.2026,0.133,0.1971,-0.0641,2.42,0.015610809703704579,2.64,0.008308404201129991,0.01990049751243781,4/4,1.0,False,False
bbbaa|aa,1.0,1.0,1.0,652,651,0.2,0,54.69,49.16,49.29,50.0,5.52,0.1105,0.0937,0.2174,-0.1237,2.82,0.004788211953482658,2.64,0.008217925403143166,0.004975124378109453,3/4,0.75,False,False
baaaa|ab,0.5,2.0,4.0,1128,1123,0.4,0,22.53,19.38,19.3,20.0,3.15,0.1576,0.1264,0.4085,-0.2821,2.67,0.007483870400443419,2.64,0.008321869206503466,0.009950248756218905,4/4,1.0,False,False
aaaaa|ab,0.5,2.0,4.0,3420,3399,0.6,0,21.07,19.28,19.3,20.0,1.78,0.0892,0.0533,0.3967,-0.3435,2.64,0.00837567879723774,2.63,0.008609335504646494,0.01990049751243781,4/4,1.0,False,False
ccbbb|ab,0.5,3.0,6.0,379,369,2.4,1,17.89,13.27,13.24,14.29,4.62,0.3231,0.252,0.4339,-0.1818,2.62,0.008922661096242296,2.62,0.008743586015468654,0.014925373134328358,4/4,1.0,False,False
bccbb|ab,1.0,1.0,1.0,490,488,0.4,0,55.12,49.23,49.29,50.0,5.9,0.1179,0.1025,0.219,-0.1166,2.61,0.009156484827889748,2.62,0.008727000283711305,0.009950248756218905,4/4,1.0,False,False
abbaa|aa,1.0,2.0,2.0,429,420,2.1,0,38.1,32.42,32.45,33.33,5.67,0.1701,0.1429,0.1971,-0.0543,2.48,0.01297048082951421,2.61,0.008981686877774878,0.014925373134328358,4/4,1.0,False,False
ddddd|ac,0.5,1.0,2.0,2111,2111,0.0,0,29.56,32.26,32.29,33.33,-2.71,-0.0812,-0.1132,0.3867,-0.4999,-2.66,0.007824357199069874,-2.6,0.009361872072838106,0.014925373134328358,1/4,0.25,False,False
abbaa|aa,0.5,3.0,6.0,429,418,2.6,0,16.99,13.18,13.24,14.29,3.8,0.2661,0.189,0.3943,-0.2053,2.3,0.021501367704217282,2.56,0.010594973413550757,0.009950248756218905,4/4,1.0,False,False
dcccc|cb,0.5,2.0,4.0,334,332,0.6,0,13.86,19.36,19.3,20.0,-5.51,-0.2754,-0.3072,0.4256,-0.7328,-2.54,0.011055822546429324,-2.55,0.010880665592480498,0.024875621890547265,1/4,0.25,False,False
ccbbb|bb,1.0,3.0,3.0,570,554,2.8,0,18.77,23.4,23.32,25.0,-4.62,-0.1849,-0.2491,0.2243,-0.4734,-2.57,0.010089658643506671,-2.55,0.010791487055313314,0.024875621890547265,0/4,0.0,False,False
bcddd|cc,0.5,2.0,4.0,330,330,0.0,0,14.24,19.25,19.3,20.0,-5.01,-0.2503,-0.2879,0.4177,-0.7056,-2.31,0.021032508944476554,-2.54,0.011103281746386272,0.009950248756218905,0/4,0.0,False,False
bccbb|ab,0.5,2.0,4.0,490,488,0.4,0,23.57,19.34,19.3,20.0,4.22,0.2111,0.1783,0.4381,-0.2598,2.36,0.018172671329805733,2.52,0.011572602954959908,0.009950248756218905,4/4,1.0,False,False
dccbc|ac,0.5,3.0,6.0,360,354,1.7,0,8.47,13.22,13.24,14.29,-4.74,-0.3319,-0.4068,0.4261,-0.8329,-2.64,0.008401835801875845,-2.52,0.011597720186139276,0.014925373134328358,0/4,0.0,False,False
bcddd|cc,0.5,1.0,2.0,330,330,0.0,0,26.36,32.27,32.29,33.33,-5.91,-0.1773,-0.2091,0.4177,-0.6268,-2.3,0.021614373159966508,-2.52,0.011753943663637224,0.009950248756218905,0/4,0.0,False,False
ddddd|ac,1.0,1.0,1.0,2111,2108,0.1,0,46.3,49.26,49.29,50.0,-2.96,-0.0591,-0.074,0.1933,-0.2673,-2.72,0.006606683276080652,-2.5,0.012452182274065788,0.024875621890547265,1/4,0.25,False,False
