pattern_id,direction,as_proposed,stop_atr,target_atr,rr,n_events,n_decided,chop_pct,undefined,hold_pct,base_pct,base_flat_pct,fair_pct,dev_pp_oos,edge_R,gross_R,friction_R,net_R_oos,z,p_binom,z_shift,p,p_perm,folds_agree,fold_frac,survives_bh,beats_expected_max,dev_pp_is,net_R_is,fold,test_from,sign_held
aaaaa|bc,-1,False,0.5,3.0,6.0,163,163,0.0,0,13.5,14.78,14.51,14.29,-1.28,-0.0897,-0.0552,0.2195,-0.2747,-0.46,0.6444850839543467,-0.56,0.5778772463290924,0.582089552238806,1/3,0.33,False,False,10.18,0.453,1,2010-12-15,False
ddddc|ba,1,True,1.0,1.0,1.0,113,113,0.0,0,59.29,49.14,49.04,50.0,10.16,0.2031,0.1858,0.1291,0.0567,2.16,0.03062669038860557,2.14,0.03201371287088255,0.03482587064676617,2/2,1.0,True,True,10.0,0.0964,2,2014-11-20,True
bbbaa|aa,1,True,0.5,1.0,2.0,60,60,0.0,0,25.0,31.32,31.52,33.33,-6.32,-0.1896,-0.25,0.2897,-0.5397,-1.06,0.2907896244211998,-0.97,0.33000438688682265,0.35323383084577115,0/0,,False,False,12.48,0.1331,3,2018-10-24,False
ddddc|ba,1,True,1.0,1.0,1.0,109,109,0.0,0,49.54,48.41,48.57,50.0,1.13,0.0226,-0.0092,0.1469,-0.156,0.24,0.813315282261243,0.18,0.8608967553161533,0.845771144278607,0/1,0.0,False,False,10.02,0.0855,3,2018-10-24,True
