pattern_id,stop_atr,target_atr,rr,n_events,n_decided,chop_pct,undefined,hold_pct,base_pct,base_flat_pct,fair_pct,dev_pp,edge_R,z,p,folds_agree,fold_frac,survives_bh,beats_expected_max
tl_approach_resistance,0.4,1.6,4.0,663,663,0.0,0,22.02,19.67,19.66,20.0,2.35,0.1175,1.52,0.1273834111562419,3/4,0.75,False,False
tl_approach_resistance,0.8,1.6,2.0,663,663,0.0,0,31.37,34.01,33.78,33.33,-2.64,-0.0791,-1.44,0.15103718838920593,1/4,0.25,False,False
tl_approach_support,0.4,0.8,2.0,789,789,0.0,0,32.83,30.62,30.48,33.33,2.21,0.0662,1.35,0.17802755020965047,3/4,0.75,False,False
tl_approach_support,0.4,2.0,5.0,789,789,0.0,0,17.74,16.0,15.8,16.67,1.75,0.1047,1.34,0.17980056684017298,2/4,0.5,False,False
tl_approach_resistance,0.4,2.0,5.0,663,663,0.0,0,18.7,16.88,16.81,16.67,1.82,0.1092,1.25,0.21010984826064516,4/4,1.0,False,False
tl_approach_support,0.4,1.2,3.0,789,789,0.0,0,25.22,23.39,23.3,25.0,1.83,0.0734,1.22,0.2223838111654509,3/4,0.75,False,False
tl_approach_resistance,0.6,1.2,2.0,663,663,0.0,0,31.52,33.04,33.02,33.33,-1.52,-0.0455,-0.83,0.4057374631085003,1/4,0.25,False,False
tl_approach_support,0.4,3.0,7.5,789,786,0.4,0,12.6,11.66,11.39,11.76,0.93,0.0794,0.82,0.4130711453812436,1/4,0.25,False,False
tl_approach_support,1.0,2.0,2.0,789,789,0.0,0,33.71,32.6,31.92,33.33,1.11,0.0334,0.67,0.5012943963340215,2/4,0.5,False,False
tl_approach_support,1.5,3.0,2.0,789,784,0.6,0,34.44,33.43,32.47,33.33,1.01,0.0302,0.61,0.5450876775501324,2/4,0.5,False,False
tl_approach_resistance,1.5,1.6,1.07,663,663,0.0,0,48.87,49.71,49.1,48.39,-0.84,-0.0173,-0.43,0.6646355737128372,2/4,0.5,False,False
tl_approach_resistance,0.6,0.8,1.33,663,663,0.0,0,40.57,41.38,41.1,42.86,-0.8,-0.0187,-0.42,0.6742110289725102,1/4,0.25,False,False
tl_approach_resistance,1.5,2.0,1.33,663,663,0.0,0,43.74,44.49,43.94,42.86,-0.75,-0.0175,-0.39,0.6963239543915112,2/4,0.5,False,False
tl_approach_resistance,0.4,1.2,3.0,663,663,0.0,0,24.59,24.06,24.18,25.0,0.52,0.0209,0.32,0.7525609460367804,2/4,0.5,False,False
tl_approach_support,1.5,2.0,1.33,789,789,0.0,0,41.57,42.11,41.12,42.86,-0.54,-0.0126,-0.31,0.756651192234207,2/4,0.5,False,False
tl_approach_resistance,0.6,2.0,3.33,663,663,0.0,0,23.38,23.86,23.71,23.08,-0.48,-0.021,-0.29,0.7694491098029597,1/4,0.25,False,False
tl_approach_resistance,0.6,1.6,2.67,663,663,0.0,0,27.45,27.53,27.38,27.27,-0.08,-0.0028,-0.04,0.9642870263288844,2/4,0.5,False,False
tl_approach_resistance,0.4,0.8,2.0,663,663,0.0,0,30.92,30.94,30.85,33.33,-0.02,-0.0007,-0.01,0.9900024718988507,1/4,0.25,False,False
