symbol,position_id,side,lots,entry,exit,closed,sim_ccy,sim_acct,broker_profit,broker_commission,broker_swap,ticket,diff,abs_diff,rel
USDJPY.a,309616135,buy,0.05,163.53699999999998,163.535,2026-07-27 08:25:28.142,-9.99999999990564,-0.08737713890367817,-0.09,0.0,0.0,272637862,0.0026228610963218296,0.0026228610963218296,0.029142901070242554
USDJPY.a,309616135,buy,0.05,163.53699999999998,163.547,2026-07-27 08:28:18.376,50.000000000096634,0.4368856945233576,0.44,0.0,0.0,272638419,-0.003114305476642376,0.003114305476642376,0.0070779669923690365
XAUUSD.a,309616653,sell,0.01,4097.91,4095.41,2026-07-27 06:51:03.359,2.5,3.572091959935417,3.57,0.0,0.0,272612552,0.002091959935416998,0.002091959935416998,0.0005859831751868342
XAUUSD.a,309617403,buy,0.01,4095.8000000000006,4097.35,2026-07-27 06:53:46.696,1.5499999999997272,2.2146970151595684,2.21,0.0,0.0,272613143,0.004697015159568441,0.004697015159568441,0.002125346226049068
XAUUSD.a,309619208,sell,0.01,4097.84,4096.26,2026-07-27 07:42:54.988,1.5799999999999272,2.2576588934612585,2.26,0.0,0.0,272625984,-0.002341106538741311,0.002341106538741311,0.0010358878490005802
XAUUSD.a,309637137,buy,0.01,4090.46,4091.45,2026-07-27 08:00:08.442,0.9899999999997817,1.4146090534976306,1.41,0.0,0.0,272631842,0.004609053497630633,0.004609053497630633,0.003268832267823144
XAUUSD.a,309639474,buy,0.01,4089.64,4090.95,2026-07-27 08:07:48.724,1.3099999999999454,1.871856424325482,1.87,0.0,0.0,272634767,0.0018564243254819424,0.0018564243254819424,0.0009927402810063863
XAUUSD.a,309641974,sell,0.01,4091.27,4091.46,2026-07-27 08:12:33.933,-0.19000000000005457,-0.271490626428976,-0.27,0.0,0.0,272635700,-0.0014906264289759608,0.0014906264289759608,0.005520838625836891
XAUUSD.a,309644139,buy,0.01,4089.84,4090.66,2026-07-27 08:23:21.212,0.819999999999709,1.1720313303980745,1.17,0.0,0.0,272637476,0.002031330398074571,0.002031330398074571,0.0017361798274141635
XAUUSD.a,309644225,sell,0.01,4090.33,4088.19,2026-07-27 08:35:18.613,2.1399999999998727,3.0587159110397812,3.06,0.0,0.0,272639865,-0.00128408896021881,0.00128408896021881,0.00041963691510418625
USDJPY.a,309645351,buy,0.05,163.54499999999996,163.573,2026-07-27 09:32:32.710,140.00000000024215,1.2222543226970313,1.22,0.0,0.0,272651166,0.002254322697031297,0.002254322697031297,0.0018478054893699156
XAUUSD.a,309672217,sell,0.01,4091.0700000000006,4087.56,2026-07-27 12:39:38.537,3.510000000000673,5.012137655291551,5.02,0.0,0.0,272702599,-0.00786234470844871,0.00786234470844871,0.0015662041251889862
USDJPY.a,309700470,sell,0.05,163.637,163.608,2026-07-29 04:08:17.207,144.9999999999818,1.2687417298971857,1.28,0.0,-1.51,273295213,-0.011258270102814327,0.011258270102814327,0.008795523517823693
XAUUSD.a,309922648,buy,0.01,4048.48,4100.73,2026-07-29 18:52:05.172,52.249999999999545,75.46216060080812,74.87,0.0,-1.12,273608798,0.5921606008081142,0.5921606008081142,0.007909183929586137
XAUUSD.a,310360838,buy,0.01,4023.1500000000005,4044.97,2026-07-29 07:10:05.882,21.819999999999254,31.402912900810623,31.37,0.0,0.0,273332904,0.03291290081062215,0.03291290081062215,0.0010491839595352932
USDJPY.a,310417786,buy,0.05,163.621,163.672,2026-07-29 10:48:43.704,254.9999999999386,2.242890093814645,2.24,0.0,0.0,273374545,0.0028900938146447785,0.0028900938146447785,0.0012902204529664188
XAUUSD.a,310419962,buy,0.01,4037.5,4038.56,2026-07-29 08:43:08.629,1.0599999999999454,1.5247191496093921,1.53,0.0,0.0,273351517,-0.005280850390607883,0.005280850390607883,0.003451536203011688
XAUUSD.a,310424431,buy,0.01,4038.02,4038.07,2026-07-29 08:50:50.756,0.0500000000001819,0.07192071460448195,0.07,0.0,0.0,273352920,0.0019207146044819406,0.0019207146044819406,0.02743878006402772
