stop_atr,target_atr,rr,n,hold_line,hold_placebo,gross_R,placebo_R,friction_R,net_R,net_vs_placebo,t
0.4,0.8,1.0,4949,48.8,49.5,-0.023,-0.01,0.2086,-0.2315,-0.0129,-16.29
0.4,1.2,1.67,4949,41.3,46.1,0.1027,0.2305,0.2086,-0.1058,-0.1277,-5.67
0.4,1.6,2.33,4949,35.9,42.2,0.1965,0.4081,0.2086,-0.012,-0.2115,-0.53
0.4,2.0,3.0,4949,32.0,38.2,0.2822,0.5288,0.2086,0.0736,-0.2466,2.77
0.4,3.0,4.67,4949,23.5,28.8,0.3309,0.6298,0.2086,0.1223,-0.2989,3.58
0.6,0.8,0.75,4949,53.4,50.4,-0.0649,-0.1183,0.1564,-0.2213,0.0534,-17.83
0.6,1.2,1.25,4949,45.8,47.1,0.0318,0.06,0.1564,-0.1246,-0.0282,-7.82
0.6,1.6,1.75,4949,40.1,43.3,0.1021,0.1916,0.1564,-0.0543,-0.0895,-2.83
0.6,2.0,2.25,4949,36.0,39.5,0.1692,0.2828,0.1564,0.0127,-0.1136,0.57
0.6,3.0,3.5,4949,26.6,30.0,0.1959,0.3514,0.1564,0.0395,-0.1555,1.4
0.8,0.8,0.6,4949,56.9,51.8,-0.0895,-0.1713,0.1251,-0.2146,0.0818,-19.05
0.8,1.2,1.0,4949,49.3,48.7,-0.0146,-0.0267,0.1251,-0.1397,0.0121,-9.83
0.8,1.6,1.4,4949,43.3,44.9,0.0384,0.0777,0.1251,-0.0867,-0.0393,-5.13
0.8,2.0,1.8,4949,39.0,41.2,0.0927,0.1532,0.1251,-0.0324,-0.0605,-1.67
0.8,3.0,2.8,4949,29.2,31.6,0.1082,0.2011,0.1251,-0.017,-0.0929,-0.69
1.0,0.8,0.5,4949,59.5,53.7,-0.1073,-0.194,0.1043,-0.2115,0.0867,-20.21
1.0,1.2,0.83,4949,51.8,50.5,-0.0508,-0.0749,0.1043,-0.1551,0.0241,-11.91
1.0,1.6,1.17,4949,45.7,46.7,-0.0096,0.011,0.1043,-0.1138,-0.0206,-7.42
1.0,2.0,1.5,4949,41.3,42.8,0.0337,0.069,0.1043,-0.0706,-0.0354,-4.03
1.0,3.0,2.33,4949,31.1,33.1,0.0381,0.1027,0.1043,-0.0662,-0.0647,-3.02
1.5,0.8,0.35,4949,64.5,58.8,-0.1273,-0.2047,0.0736,-0.2009,0.0774,-21.83
1.5,1.2,0.59,4949,57.0,55.2,-0.094,-0.1238,0.0736,-0.1676,0.0298,-14.99
1.5,1.6,0.82,4949,50.9,51.1,-0.0721,-0.0673,0.0736,-0.1457,-0.0048,-11.24
1.5,2.0,1.06,4949,46.1,47.0,-0.0514,-0.0331,0.0736,-0.125,-0.0183,-8.57
1.5,3.0,1.65,4949,35.3,36.9,-0.065,-0.0238,0.0736,-0.1386,-0.0412,-7.7
