pattern_id,stop_atr,target_atr,rr,n_events,n_decided,chop_pct,undefined,hold_pct,base_pct,base_flat_pct,fair_pct,dev_pp,edge_R,z,p_binom,z_shift,p,p_perm,folds_agree,fold_frac,survives_bh,beats_expected_max
tl_approach_resistance,0.4,2.0,5.0,588,586,0.0,2,13.82,16.42,16.42,16.67,-2.6,-0.1561,-1.7,0.08864638507972339,-0.8,0.4259099072221082,0.4314214463840399,1/4,0.25,False,False
tl_approach_resistance,1.5,2.0,1.33,588,586,0.0,2,37.2,40.78,40.41,42.86,-3.58,-0.0836,-1.78,0.0757523099238383,-0.79,0.4275575396307656,0.43640897755610975,2/4,0.5,False,False
tl_approach_resistance,0.8,0.8,1.0,588,588,0.0,0,51.19,48.54,47.97,50.0,2.65,0.053,1.29,0.19756605708609054,0.71,0.4802286417241045,0.47381546134663344,3/4,0.75,False,False
tl_approach_resistance,1.0,3.0,3.0,588,586,0.0,2,20.82,23.49,23.22,25.0,-2.67,-0.1066,-1.53,0.12584231232220033,-0.69,0.4926060650353461,0.4937655860349127,0/4,0.0,False,False
tl_approach_resistance,0.8,1.2,1.5,588,588,0.0,0,35.71,38.51,38.09,40.0,-2.8,-0.07,-1.4,0.16169176571170163,-0.63,0.5302042255894517,0.5785536159600998,1/4,0.25,False,False
tl_approach_resistance,0.6,2.0,3.33,588,586,0.0,2,20.14,22.32,22.12,23.08,-2.18,-0.0945,-1.27,0.2034422959095842,-0.59,0.5580914892761664,0.5785536159600998,2/4,0.5,False,False
tl_approach_resistance,0.4,1.6,4.0,588,588,0.0,0,17.52,19.62,19.54,20.0,-2.1,-0.1051,-1.29,0.1983879371453767,-0.57,0.5669999505264034,0.5685785536159601,2/4,0.5,False,False
tl_approach_resistance,1.5,1.6,1.07,588,588,0.0,0,43.71,46.54,46.04,48.39,-2.83,-0.0585,-1.38,0.16678869391544088,-0.56,0.5746046490292439,0.5860349127182045,1/4,0.25,False,False
tl_approach_resistance,0.8,3.0,3.75,588,586,0.0,2,18.09,20.06,20.01,21.05,-1.98,-0.0938,-1.2,0.23042045828110552,-0.54,0.5904778415413581,0.6084788029925187,0/4,0.0,False,False
tl_approach_resistance,1.5,0.8,0.53,588,588,0.0,0,65.14,63.42,62.49,65.22,1.72,0.0264,0.87,0.38531893101866577,0.49,0.6257955712169261,0.6359102244389028,2/4,0.5,False,False
tl_approach_support,1.5,0.8,0.53,691,691,0.0,0,63.82,65.57,65.81,65.22,-1.75,-0.0268,-0.97,0.33182976732232583,-0.47,0.6413223818898683,0.6109725685785536,2/4,0.5,False,False
tl_approach_support,1.0,3.0,3.0,691,690,0.1,0,25.65,26.94,27.43,25.0,-1.29,-0.0517,-0.77,0.4422461305806472,-0.46,0.6484679620664602,0.6359102244389028,2/4,0.5,False,False
tl_approach_support,1.0,2.0,2.0,691,691,0.0,0,33.57,34.95,35.46,33.33,-1.37,-0.0411,-0.76,0.4481848331286659,-0.45,0.651712722960844,0.6433915211970075,1/4,0.25,False,False
tl_approach_support,1.5,3.0,2.0,691,674,2.5,0,34.42,35.8,36.29,33.33,-1.38,-0.0413,-0.75,0.45327116772237763,-0.44,0.6578742022338513,0.6408977556109726,2/4,0.5,False,False
tl_approach_resistance,1.5,1.2,0.8,588,588,0.0,0,51.19,53.31,52.72,55.56,-2.12,-0.0381,-1.03,0.30144425230583816,-0.42,0.676921274565135,0.6508728179551122,2/4,0.5,False,False
tl_approach_resistance,0.4,0.8,2.0,588,588,0.0,0,33.16,31.84,31.49,33.33,1.33,0.0398,0.69,0.4891301321917809,0.37,0.7101559990374811,0.7206982543640897,2/4,0.5,False,False
tl_approach_resistance,0.4,1.2,3.0,588,588,0.0,0,22.96,24.33,24.03,25.0,-1.37,-0.0548,-0.78,0.4376742058845673,-0.36,0.721119784491174,0.7206982543640897,1/4,0.25,False,False
tl_approach_resistance,1.5,3.0,2.0,588,583,0.5,2,29.67,31.03,30.72,33.33,-1.36,-0.0408,-0.71,0.4754972176647097,-0.32,0.7465942585819061,0.7406483790523691,1/4,0.25,False,False
tl_approach_support,1.5,2.0,1.33,691,691,0.0,0,44.14,45.07,45.42,42.86,-0.93,-0.0217,-0.49,0.6224156804899873,-0.32,0.7468965652329901,0.7306733167082294,2/4,0.5,False,False
tl_approach_resistance,1.0,0.8,0.8,588,588,0.0,0,54.93,53.77,52.95,55.56,1.16,0.0209,0.57,0.5713968946546766,0.32,0.7465943307842464,0.7456359102244389,2/4,0.5,False,False
tl_approach_resistance,0.6,1.2,2.0,588,588,0.0,0,30.78,32.13,31.72,33.33,-1.35,-0.0405,-0.7,0.4821173851928995,-0.3,0.7630479436349118,0.7581047381546134,2/4,0.5,False,False
tl_approach_resistance,0.4,3.0,7.5,588,586,0.0,2,10.75,11.54,11.59,11.76,-0.79,-0.0667,-0.6,0.5509873097159295,-0.27,0.7897219571278268,0.7855361596009975,1/4,0.25,False,False
tl_approach_resistance,0.6,1.6,2.67,588,588,0.0,0,25.34,26.43,26.2,27.27,-1.09,-0.04,-0.6,0.5475906124629284,-0.22,0.8236918587799157,0.8129675810473815,2/4,0.5,False,False
tl_approach_support,1.5,1.2,0.8,691,691,0.0,0,57.02,57.17,57.43,55.56,-0.15,-0.0028,-0.08,0.9343508154135586,-0.1,0.9234573136281256,0.912718204488778,2/4,0.5,False,False
tl_approach_resistance,0.6,3.0,5.0,588,586,0.0,2,16.21,16.12,16.01,16.67,0.1,0.0057,0.06,0.9498220225741328,0.05,0.9565635378503701,0.970074812967581,3/4,0.75,False,False
