pattern_id,stop_atr,target_atr,rr,n_events,n_decided,chop_pct,undefined,hold_pct,base_pct,base_flat_pct,fair_pct,dev_pp,edge_R,gross_R,friction_R,net_R,z,p_binom,z_shift,p,p_perm,folds_agree,fold_frac,survives_bh,beats_expected_max
ddddd|cc,1.0,2.0,2.0,346,345,0.0,1,26.38,33.76,32.92,33.33,-7.38,-0.2215,-0.2087,0.071,-0.2797,-2.91,0.003609037063490937,-2.91,0.0036187929607589923,0.004975124378109453,0/4,0.0,False,True
ddddd|cc,0.5,2.0,4.0,346,345,0.0,1,15.07,20.06,19.57,20.0,-4.99,-0.2496,-0.2464,0.1419,-0.3883,-2.32,0.020338342653649668,-2.49,0.01267067943006244,0.024875621890547265,0/4,0.0,False,False
ddddd|cc,1.0,1.0,1.0,346,346,0.0,0,43.35,49.53,48.95,50.0,-6.18,-0.1236,-0.1329,0.071,-0.2039,-2.3,0.021259326045521176,-2.4,0.0162352284577238,0.009950248756218905,1/4,0.25,False,False
aaaaa|ac,0.5,1.0,2.0,333,333,0.0,0,27.03,31.84,31.82,33.33,-4.81,-0.1442,-0.1892,0.1422,-0.3314,-1.89,0.05935803871078677,-1.85,0.06443728579006497,0.05970149253731343,0/4,0.0,False,False
aaaaa|aa,0.5,1.0,2.0,350,350,0.0,0,26.57,31.6,31.82,33.33,-5.03,-0.1509,-0.2029,0.1415,-0.3444,-2.03,0.04275145001711757,-1.74,0.08190812858466322,0.09950248756218906,1/4,0.25,False,False
aaaaa|ac,1.0,1.0,1.0,333,333,0.0,0,43.84,49.0,48.95,50.0,-5.16,-0.1032,-0.1231,0.0711,-0.1942,-1.89,0.059259438682526346,-1.74,0.08110742342210323,0.08955223880597014,1/4,0.25,False,False
ddddd|bc,1.0,2.0,2.0,361,361,0.0,0,29.92,33.57,32.92,33.33,-3.65,-0.1096,-0.1025,0.0724,-0.1749,-1.48,0.14001040198681167,-1.54,0.12301171109349873,0.13432835820895522,1/4,0.25,False,False
aaaaa|ac,1.0,3.0,3.0,333,332,0.3,0,21.08,25.03,24.88,25.0,-3.95,-0.1579,-0.1566,0.0711,-0.2277,-1.67,0.09543454472007008,-1.54,0.12438831178116883,0.10945273631840796,2/4,0.5,False,False
ddddd|ca,1.0,1.0,1.0,374,374,0.0,0,45.72,49.23,48.95,50.0,-3.51,-0.0702,-0.0856,0.0717,-0.1573,-1.36,0.1739449138387256,-1.48,0.14016583891307943,0.13930348258706468,1/4,0.25,False,False
aaaaa|bb,1.0,1.0,1.0,343,343,0.0,0,52.77,48.68,48.95,50.0,4.09,0.0817,0.0554,0.0706,-0.0152,1.52,0.12910974540247094,1.46,0.14547625074185233,0.14925373134328357,4/4,1.0,False,False
aaaaa|ab,1.0,3.0,3.0,388,388,0.0,0,27.84,24.71,24.88,25.0,3.12,0.1248,0.1134,0.0704,0.043,1.43,0.1522735722002135,1.45,0.14744034637672132,0.14925373134328357,4/4,1.0,False,False
ddddd|bc,1.0,3.0,3.0,361,360,0.3,0,22.22,25.4,24.88,25.0,-3.18,-0.127,-0.1111,0.0724,-0.1835,-1.39,0.16449107109167635,-1.45,0.1467321995473408,0.15422885572139303,1/4,0.25,False,False
aaaaa|aa,0.5,2.0,4.0,350,350,0.0,0,16.0,19.25,19.57,20.0,-3.25,-0.1627,-0.2,0.1415,-0.3415,-1.55,0.12184462931721873,-1.39,0.16443942608814355,0.17412935323383086,1/4,0.25,False,False
aaaaa|ba,1.0,3.0,3.0,362,360,0.6,0,21.94,24.83,24.88,25.0,-2.88,-0.1153,-0.1222,0.0715,-0.1937,-1.27,0.20345376017690892,-1.37,0.17066171919650125,0.19402985074626866,1/4,0.25,False,False
ddddd|cc,0.5,1.0,2.0,346,346,0.0,0,28.9,32.17,31.82,33.33,-3.27,-0.0981,-0.1329,0.1419,-0.2749,-1.3,0.19235504193356567,-1.34,0.179595828176361,0.21393034825870647,1/4,0.25,False,False
aaaaa|ac,0.5,2.0,4.0,333,333,0.0,0,16.82,19.7,19.57,20.0,-2.89,-0.1443,-0.1592,0.1422,-0.3014,-1.33,0.1846667299202669,-1.33,0.1820759786229536,0.17412935323383086,1/4,0.25,False,False
aaaaa|ac,0.5,3.0,6.0,333,333,0.0,0,12.01,14.36,14.23,14.29,-2.35,-0.1642,-0.1592,0.1422,-0.3014,-1.22,0.22125387972331337,-1.27,0.20534336273744075,0.22388059701492538,2/4,0.5,False,False
ddddd|bb,0.5,3.0,6.0,335,334,0.0,1,11.98,14.43,14.23,14.29,-2.46,-0.1721,-0.1617,0.1435,-0.3051,-1.28,0.20015910851127863,-1.27,0.20265358618778861,0.19402985074626866,1/4,0.25,False,False
aaaaa|ba,1.0,2.0,2.0,362,362,0.0,0,30.11,32.84,32.92,33.33,-2.73,-0.082,-0.0967,0.0715,-0.1682,-1.11,0.2664628347750431,-1.23,0.22045183006846839,0.24875621890547264,1/4,0.25,False,False
ddddd|cc,1.0,3.0,3.0,346,345,0.0,1,22.9,25.79,24.88,25.0,-2.9,-0.1158,-0.0841,0.071,-0.155,-1.24,0.21678471908675537,-1.17,0.2403758975032253,0.2537313432835821,1/4,0.25,False,False
ddddd|bc,1.0,1.0,1.0,361,361,0.0,0,46.26,49.37,48.95,50.0,-3.11,-0.0622,-0.0748,0.0724,-0.1472,-1.18,0.23676586521441023,-1.14,0.25526547962048796,0.2835820895522388,1/4,0.25,False,False
aaaaa|ab,0.5,1.0,2.0,388,388,0.0,0,34.28,31.7,31.82,33.33,2.58,0.0774,0.0284,0.1409,-0.1125,1.09,0.2739201037962352,1.07,0.2843988048211162,0.31343283582089554,3/4,0.75,False,False
ddddd|bb,0.5,2.0,4.0,335,335,0.0,0,17.31,19.7,19.57,20.0,-2.39,-0.1194,-0.1343,0.1435,-0.2778,-1.1,0.2710023908681779,-1.05,0.29358920371159836,0.24378109452736318,0/4,0.0,False,False
aaaaa|ac,1.0,2.0,2.0,333,333,0.0,0,30.03,33.11,32.92,33.33,-3.08,-0.0925,-0.0991,0.0711,-0.1702,-1.2,0.22989933259995654,-1.04,0.3001897744734161,0.30845771144278605,2/4,0.5,False,False
aaaaa|bb,0.5,1.0,2.0,343,343,0.0,0,34.4,31.64,31.82,33.33,2.76,0.0828,0.0321,0.1412,-0.1091,1.1,0.2711100328092429,1.03,0.30107061514337824,0.263681592039801,3/4,0.75,False,False
ddddd|cc,0.5,3.0,6.0,346,345,0.0,1,12.75,14.78,14.23,14.29,-2.03,-0.1419,-0.1072,0.1419,-0.2492,-1.06,0.2873547407107929,-1.02,0.3075493719735116,0.31840796019900497,0/4,0.0,False,False
aaaaa|ab,1.0,1.0,1.0,388,388,0.0,0,51.55,48.85,48.95,50.0,2.7,0.054,0.0309,0.0704,-0.0395,1.07,0.28632878592236455,0.99,0.32184853809429714,0.36318407960199006,3/4,0.75,False,False
ddddd|bb,1.0,1.0,1.0,335,335,0.0,0,51.94,49.21,48.95,50.0,2.73,0.0546,0.0388,0.0717,-0.0329,1.0,0.3167522493536302,0.89,0.3753823176170132,0.3880597014925373,3/4,0.75,False,False
aaaaa|ab,0.5,3.0,6.0,388,388,0.0,0,15.72,14.18,14.23,14.29,1.55,0.1083,0.1005,0.1409,-0.0403,0.88,0.3812665679823772,0.88,0.37903929412355375,0.373134328358209,3/4,0.75,False,False
aaaaa|ab,1.0,2.0,2.0,388,388,0.0,0,34.79,32.69,32.92,33.33,2.1,0.0631,0.0438,0.0704,-0.0266,0.89,0.3752483154005617,0.85,0.3953819206308467,0.3880597014925373,3/4,0.75,False,False
aaaaa|bb,1.0,2.0,2.0,343,343,0.0,0,34.69,32.59,32.92,33.33,2.1,0.0631,0.0408,0.0706,-0.0298,0.83,0.4039828382167403,0.79,0.4318444193367561,0.40298507462686567,4/4,1.0,False,False
ddddd|bc,0.5,3.0,6.0,361,361,0.0,0,13.3,14.62,14.23,14.29,-1.32,-0.0925,-0.0693,0.1448,-0.214,-0.71,0.4762574480283558,-0.77,0.44386090825468577,0.5074626865671642,1/4,0.25,False,False
ddddd|cb,0.5,1.0,2.0,369,369,0.0,0,33.88,32.18,31.82,33.33,1.69,0.0507,0.0163,0.1431,-0.1269,0.7,0.4864165239098073,0.7,0.4823627924298929,0.4975124378109453,3/4,0.75,False,False
aaaaa|bb,1.0,3.0,3.0,343,343,0.0,0,26.24,24.54,24.88,25.0,1.7,0.068,0.0496,0.0706,-0.021,0.74,0.4620004924027471,0.7,0.4824668764562846,0.4626865671641791,2/4,0.5,False,False
aaaaa|aa,1.0,2.0,2.0,350,350,0.0,0,30.29,32.37,32.92,33.33,-2.08,-0.0625,-0.0914,0.0707,-0.1622,-0.84,0.4030169274436068,-0.67,0.5028480871537386,0.4975124378109453,1/4,0.25,False,False
aaaaa|aa,0.5,3.0,6.0,350,350,0.0,0,12.57,13.92,14.23,14.29,-1.35,-0.0947,-0.12,0.1415,-0.2615,-0.73,0.4640086364372484,-0.63,0.5316332222446685,0.5522388059701493,2/4,0.5,False,False
ddddd|ca,0.5,3.0,6.0,374,374,0.0,0,13.64,14.57,14.23,14.29,-0.93,-0.0653,-0.0455,0.1434,-0.1889,-0.51,0.6079294696974354,-0.61,0.5426140286790064,0.5522388059701493,1/4,0.25,False,False
ddddd|bc,0.5,2.0,4.0,361,361,0.0,0,19.11,20.03,19.57,20.0,-0.91,-0.0456,-0.0443,0.1448,-0.1891,-0.43,0.6641396296373996,-0.55,0.5813258007013893,0.6019900497512438,1/4,0.25,False,False
ddddd|cb,1.0,1.0,1.0,369,369,0.0,0,50.95,49.5,48.95,50.0,1.45,0.029,0.019,0.0716,-0.0526,0.56,0.5763507800528467,0.54,0.5922322949635361,0.6019900497512438,2/4,0.5,False,False
ddddd|ca,1.0,2.0,2.0,374,374,0.0,0,32.35,33.46,32.92,33.33,-1.1,-0.0331,-0.0294,0.0717,-0.1011,-0.45,0.6493391199717897,-0.45,0.6519708530631223,0.6567164179104478,2/4,0.5,False,False
aaaaa|bb,0.5,3.0,6.0,343,343,0.0,0,14.87,14.08,14.23,14.29,0.79,0.0551,0.0408,0.1412,-0.1003,0.42,0.6745022927941045,0.42,0.6730464343403155,0.6517412935323383,2/4,0.5,False,False
aaaaa|ba,0.5,3.0,6.0,362,362,0.0,0,13.54,14.21,14.23,14.29,-0.68,-0.0473,-0.0525,0.143,-0.1955,-0.37,0.7123110890493027,-0.37,0.714317497391839,0.7263681592039801,2/4,0.5,False,False
