when,truth,ticks,5m,5m_n,1m,1m_n
2025-04-14 23:00:00,stop,7525,stop,12,stop,59
2025-05-01 00:00:00,stop,763,stop,12,stop,59
2025-05-01 01:00:00,target,3803,target,12,target,60
2025-05-01 02:00:00,stop,3722,stop,12,stop,60
2025-05-01 03:00:00,target,6329,target,12,target,60
2025-05-01 04:00:00,target,5803,target,12,target,60
2025-05-01 05:00:00,stop,4215,stop,12,stop,60
2025-05-01 06:00:00,target,7939,target,12,target,60
2025-05-01 07:00:00,target,5711,target,12,target,60
2025-05-01 08:00:00,target,8190,target,12,target,60
2025-05-01 09:00:00,stop,9421,stop,12,stop,60
2025-05-01 10:00:00,stop,10176,stop,12,stop,60
2025-05-01 11:00:00,stop,7884,stop,12,stop,60
2025-05-01 12:00:00,target,6462,target,12,target,60
2025-05-01 13:00:00,stop,6933,stop,12,stop,60
2025-05-01 14:00:00,target,9349,target,12,target,60
2025-05-01 15:00:00,stop,14222,stop,12,stop,60
2025-05-01 16:00:00,stop,13174,stop,12,stop,60
2025-05-01 17:00:00,target,17073,target,12,target,60
2025-05-01 18:00:00,target,11799,target,12,target,60
2025-05-01 19:00:00,stop,8217,stop,12,stop,60
2025-05-01 20:00:00,target,5094,target,12,target,60
2025-05-01 21:00:00,stop,6665,stop,12,stop,60
2025-05-01 22:00:00,stop,5387,stop,12,stop,60
2025-05-01 23:00:00,target,5429,target,12,target,59
2025-06-04 00:00:00,target,1239,unresolved,12,target,59
2025-06-04 01:00:00,target,2165,target,12,target,60
2025-06-04 02:00:00,stop,3000,stop,12,stop,60
2025-06-04 03:00:00,target,8357,target,12,target,60
2025-06-04 04:00:00,stop,10666,stop,12,stop,60
2025-06-04 05:00:00,target,6016,target,12,target,60
2025-06-04 06:00:00,target,5115,target,12,target,60
2025-06-04 07:00:00,target,5689,target,12,target,60
2025-06-04 08:00:00,target,7081,target,12,target,60
2025-06-04 09:00:00,stop,10667,stop,12,stop,60
2025-06-04 10:00:00,stop,9220,stop,12,stop,60
2025-06-04 11:00:00,stop,8397,stop,12,stop,60
2025-06-04 13:00:00,target,7898,target,12,target,60
2025-06-04 14:00:00,target,6393,target,12,target,60
2025-06-04 16:00:00,target,12308,target,12,target,60
2025-06-04 18:00:00,target,10170,target,12,target,60
2025-06-04 19:00:00,stop,6937,stop,12,stop,60
2025-06-04 20:00:00,target,5281,target,12,target,60
2025-06-04 21:00:00,stop,4690,stop,12,stop,60
2025-06-04 22:00:00,target,4755,target,12,target,60
2025-06-04 23:00:00,stop,4158,stop,12,stop,59
2025-07-08 00:00:00,target,500,unresolved,12,unresolved,59
2025-07-08 02:00:00,stop,4242,stop,12,stop,60
2025-07-08 03:00:00,stop,8749,stop,12,stop,60
2025-07-08 04:00:00,target,7191,target,12,target,60
2025-07-08 05:00:00,stop,5376,stop,12,stop,60
2025-07-08 06:00:00,stop,4881,stop,12,stop,60
2025-07-08 07:00:00,target,5942,target,12,target,60
2025-07-08 08:00:00,target,6443,target,12,target,60
2025-07-08 09:00:00,stop,7830,stop,12,stop,60
2025-07-08 10:00:00,stop,7797,stop,12,stop,60
2025-07-08 11:00:00,target,8381,target,12,target,60
2025-07-08 12:00:00,target,6835,target,12,target,60
2025-07-08 13:00:00,target,6336,target,12,target,60
2025-07-08 14:00:00,target,7163,target,12,target,60
2025-07-08 15:00:00,stop,8246,stop,12,stop,60
2025-07-08 16:00:00,target,10642,target,12,target,60
2025-07-08 17:00:00,target,12665,target,12,target,60
2025-07-08 18:00:00,stop,9018,stop,12,stop,60
2025-07-08 19:00:00,target,9285,target,12,target,60
2025-07-08 20:00:00,stop,7930,stop,12,stop,60
2025-07-08 21:00:00,stop,6820,stop,12,stop,60
2025-07-08 22:00:00,target,4746,target,12,target,60
2025-07-08 23:00:00,stop,3566,stop,12,stop,59
2025-07-25 00:00:00,stop,980,stop,12,stop,59
2025-07-25 01:00:00,stop,3831,stop,12,stop,60
2025-07-25 02:00:00,stop,2387,stop,12,stop,60
2025-07-25 03:00:00,target,6635,target,12,target,60
2025-07-25 04:00:00,target,7388,target,12,target,60
2025-07-25 05:00:00,target,4124,target,12,target,60
2025-07-25 06:00:00,stop,3754,stop,12,stop,60
2025-07-25 07:00:00,target,4375,target,12,target,60
2025-07-25 08:00:00,stop,5862,stop,12,stop,60
2025-07-25 09:00:00,stop,9165,stop,12,stop,60
2025-07-25 10:00:00,stop,9313,stop,12,stop,60
2025-07-25 11:00:00,target,9156,target,12,target,60
2025-07-25 12:00:00,target,6982,target,12,target,60
2025-07-25 13:00:00,target,5721,target,12,target,60
2025-07-25 14:00:00,target,7447,target,12,target,60
2025-07-25 15:00:00,target,8035,target,12,target,60
2025-07-25 16:00:00,stop,17710,stop,12,stop,60
2025-07-25 17:00:00,stop,11738,stop,12,stop,60
2025-07-25 18:00:00,stop,9194,stop,12,stop,60
2025-07-25 19:00:00,target,7496,target,12,target,60
2025-07-25 20:00:00,stop,4127,stop,12,stop,60
2025-07-25 21:00:00,stop,4843,stop,12,stop,60
2025-07-25 22:00:00,stop,3303,stop,12,stop,60
2025-07-25 23:00:00,target,4825,target,11,target,55
2025-08-11 01:00:00,stop,3668,stop,12,stop,60
2025-08-11 02:00:00,stop,2104,stop,12,stop,60
2025-08-11 03:00:00,stop,5249,stop,12,stop,60
2025-08-11 04:00:00,stop,4909,stop,12,stop,60
2025-08-11 06:00:00,stop,4567,stop,12,stop,60
2025-08-11 07:00:00,target,3198,target,12,target,60
2025-08-11 08:00:00,stop,5174,stop,12,stop,60
2025-08-11 09:00:00,target,5800,target,12,target,60
2025-08-11 10:00:00,target,7862,target,12,target,60
2025-08-11 11:00:00,stop,6474,stop,12,stop,60
2025-08-11 12:00:00,target,6791,target,12,target,60
2025-08-11 13:00:00,target,5779,target,12,target,60
2025-08-11 14:00:00,target,8452,target,12,target,60
2025-08-11 15:00:00,target,9666,target,12,target,60
2025-08-11 16:00:00,stop,9033,stop,12,stop,60
2025-08-11 17:00:00,target,10881,target,12,target,60
2025-08-11 18:00:00,stop,8767,stop,12,stop,60
2025-08-11 19:00:00,target,5761,target,12,target,60
2025-08-11 20:00:00,stop,4706,stop,12,stop,60
2025-08-11 21:00:00,stop,4458,stop,12,stop,60
2025-08-11 22:00:00,target,3984,target,12,target,60
2025-08-11 23:00:00,stop,4114,stop,12,stop,59
2025-08-28 00:00:00,stop,567,stop,12,stop,59
2025-08-28 02:00:00,stop,2312,stop,12,stop,60
2025-08-28 03:00:00,target,5548,target,12,target,60
2025-08-28 04:00:00,target,6468,target,12,target,60
2025-08-28 05:00:00,stop,5280,stop,12,stop,60
2025-08-28 06:00:00,target,4133,target,12,target,60
2025-08-28 07:00:00,stop,3811,stop,12,stop,60
2025-08-28 08:00:00,target,4043,target,12,target,60
2025-08-28 09:00:00,target,7803,target,12,target,60
2025-08-28 10:00:00,target,9337,target,12,target,60
2025-08-28 11:00:00,target,8933,target,12,target,60
2025-08-28 12:00:00,stop,7257,stop,12,stop,60
2025-08-28 13:00:00,stop,8205,stop,12,stop,60
2025-08-28 14:00:00,target,8889,target,12,target,60
2025-08-28 15:00:00,stop,16148,stop,12,stop,60
2025-08-28 16:00:00,stop,15185,stop,12,stop,60
2025-08-28 17:00:00,stop,14482,stop,12,stop,60
2025-08-28 18:00:00,stop,10446,stop,12,stop,60
2025-08-28 19:00:00,stop,6634,stop,12,stop,60
2025-08-28 20:00:00,stop,6060,unresolved,12,stop,60
2025-08-28 21:00:00,stop,5811,stop,12,stop,60
2025-08-28 22:00:00,target,4366,target,12,target,60
2025-08-28 23:00:00,stop,4091,stop,12,stop,59
2025-10-01 01:00:00,target,3535,target,12,target,60
2025-10-01 02:00:00,stop,2729,stop,12,stop,60
2025-10-01 03:00:00,stop,4625,stop,12,stop,60
2025-10-01 04:00:00,stop,3799,stop,12,stop,60
2025-10-01 05:00:00,target,3951,target,12,target,60
2025-10-01 06:00:00,target,3373,target,12,target,60
2025-10-01 08:00:00,target,6709,target,12,target,60
2025-10-01 09:00:00,stop,10089,stop,12,stop,60
2025-10-01 10:00:00,target,15006,target,12,target,60
2025-10-01 11:00:00,target,11540,target,12,target,60
2025-10-01 12:00:00,target,8836,target,12,target,60
2025-10-01 13:00:00,target,9589,target,12,target,60
2025-10-01 14:00:00,stop,8105,stop,12,stop,60
2025-10-01 15:00:00,stop,19917,stop,12,stop,60
2025-10-01 16:00:00,stop,13539,stop,12,stop,60
2025-10-01 17:00:00,target,18274,target,12,target,60
2025-10-01 18:00:00,target,13299,target,12,target,60
2025-10-01 19:00:00,stop,8224,stop,12,stop,60
2025-10-01 20:00:00,stop,6038,stop,12,stop,60
2025-10-01 21:00:00,stop,5635,stop,12,stop,60
2025-10-01 22:00:00,target,4190,target,12,target,60
2025-10-01 23:00:00,stop,4740,stop,12,stop,59
2025-11-04 00:00:00,stop,1012,stop,12,stop,58
2025-11-04 01:00:00,target,3293,unresolved,12,target,60
2025-11-04 02:00:00,target,5510,target,12,target,60
2025-11-04 03:00:00,stop,5840,stop,12,stop,60
2025-11-04 04:00:00,stop,4721,stop,12,stop,60
2025-11-04 05:00:00,stop,4059,stop,12,stop,60
2025-11-04 06:00:00,target,3436,target,12,target,60
2025-11-04 07:00:00,stop,5127,stop,12,stop,60
2025-11-04 08:00:00,stop,6573,stop,12,stop,60
2025-11-04 09:00:00,stop,8011,stop,12,stop,60
2025-11-04 10:00:00,target,9991,target,12,target,60
2025-11-04 11:00:00,target,9051,target,12,target,60
2025-11-04 12:00:00,stop,6877,stop,12,stop,60
