pattern_id,direction,as_proposed,stop_atr,target_atr,rr,n_events,n_decided,chop_pct,undefined,hold_pct,base_pct,base_flat_pct,fair_pct,dev_pp_oos,edge_R,gross_R,friction_R,net_R_oos,z,p_binom,z_shift,p,p_perm,folds_agree,fold_frac,survives_bh,beats_expected_max,dev_pp_is,net_R_is,fold,test_from,sign_held
aaaaa|cb,-1,False,0.5,1.0,2.0,86,86,0.0,0,26.74,31.18,31.1,33.33,-4.44,-0.1331,-0.1977,0.1619,-0.3596,-0.89,0.37421377249802223,-0.89,0.37448908645714674,0.39303482587064675,0/0,,False,False,11.43,0.1454,2,2020-01-21,False
bbbbb|bb,-1,False,0.5,1.0,2.0,49,49,0.0,0,32.65,30.69,30.66,33.33,1.96,0.0589,-0.0204,0.1228,-0.1432,0.3,0.7653484596217257,0.27,0.7877211143947163,0.835820895522388,0/0,,False,False,10.24,0.0606,4,2024-06-11,True
