bar,occurred_at,dist_atr,line_id,role,quality,touches,atr,tf,arm,outcome,symbol
370,2018-01-23 11:00:00,0.01809096654875644,1h-S-923,support,90.96,4,0.0016957615846007073,1h,placebo,break,EURUSD.a
7620,2019-03-25 17:00:00,,1h-S-923,support,90.96,4,0.0016957615846007073,1h,random,break,EURUSD.a
370,2018-01-23 11:00:00,0.24320332788900267,1h-S-919,support,77.96,3,0.0016957615846007073,1h,line,hold,EURUSD.a
370,2018-01-23 11:00:00,0.24320332788900267,1h-S-919,support,77.96,3,0.0016957615846007073,1h,placebo,break,EURUSD.a
27666,2022-06-10 23:00:00,,1h-S-919,support,77.96,3,0.0016957615846007073,1h,random,break,EURUSD.a
370,2018-01-23 11:00:00,0.23017118736377118,1h-S-920,support,77.66,3,0.0016957615846007073,1h,line,hold,EURUSD.a
370,2018-01-23 11:00:00,0.23017118736377118,1h-S-920,support,77.66,3,0.0016957615846007073,1h,placebo,hold,EURUSD.a
44235,2025-02-10 18:00:00,,1h-S-920,support,77.66,3,0.0016957615846007073,1h,random,break,EURUSD.a
376,2018-01-23 17:00:00,0.20882487342036837,1h-R-942,resistance,96.71,4,0.0018507911521247857,1h,line,break,EURUSD.a
376,2018-01-23 17:00:00,0.20882487342036837,1h-R-942,resistance,96.71,4,0.0018507911521247857,1h,placebo,break,EURUSD.a
33806,2023-06-07 00:00:00,,1h-R-942,resistance,96.71,4,0.0018507911521247857,1h,random,hold,EURUSD.a
376,2018-01-23 17:00:00,0.33137415160102096,1h-R-943,resistance,96.41,4,0.0018507911521247857,1h,line,break,EURUSD.a
376,2018-01-23 17:00:00,0.33137415160102096,1h-R-943,resistance,96.41,4,0.0018507911521247857,1h,placebo,hold,EURUSD.a
20390,2021-04-13 19:00:00,,1h-R-943,resistance,96.41,4,0.0018507911521247857,1h,random,break,EURUSD.a
376,2018-01-23 17:00:00,0.01817404605472982,1h-R-974,resistance,90.38,4,0.0018507911521247857,1h,line,break,EURUSD.a
376,2018-01-23 17:00:00,0.01817404605472982,1h-R-974,resistance,90.38,4,0.0018507911521247857,1h,placebo,hold,EURUSD.a
13310,2020-02-21 19:00:00,,1h-R-974,resistance,90.38,4,0.0018507911521247857,1h,random,hold,EURUSD.a
376,2018-01-23 17:00:00,0.07827149884765856,1h-R-941,resistance,82.61,3,0.0018507911521247857,1h,line,break,EURUSD.a
376,2018-01-23 17:00:00,0.07827149884765856,1h-R-941,resistance,82.61,3,0.0018507911521247857,1h,placebo,hold,EURUSD.a
52051,2026-05-14 15:00:00,,1h-R-941,resistance,82.61,3,0.0018507911521247857,1h,random,hold,EURUSD.a
421,2018-01-25 14:00:00,0.21031609670515197,1h-S-1239,support,83.52,3,0.002251100274148945,1h,line,hold,EURUSD.a
421,2018-01-25 14:00:00,0.21031609670515197,1h-S-1239,support,83.52,3,0.002251100274148945,1h,placebo,break,EURUSD.a
37178,2023-12-20 12:00:00,,1h-S-1239,support,83.52,3,0.002251100274148945,1h,random,break,EURUSD.a
421,2018-01-25 14:00:00,0.21682225721553272,1h-S-1240,support,83.27,3,0.002251100274148945,1h,line,hold,EURUSD.a
421,2018-01-25 14:00:00,0.21682225721553272,1h-S-1240,support,83.27,3,0.002251100274148945,1h,placebo,break,EURUSD.a
26277,2022-03-23 02:00:00,,1h-S-1240,support,83.27,3,0.002251100274148945,1h,random,break,EURUSD.a
421,2018-01-25 14:00:00,0.19810776849828893,1h-S-1241,support,82.92,3,0.002251100274148945,1h,line,hold,EURUSD.a
421,2018-01-25 14:00:00,0.19810776849828893,1h-S-1241,support,82.92,3,0.002251100274148945,1h,placebo,hold,EURUSD.a
220,2018-01-15 05:00:00,,1h-S-1241,support,82.92,3,0.002251100274148945,1h,random,hold,EURUSD.a
421,2018-01-25 14:00:00,0.1566984405314735,1h-S-1243,support,81.62,3,0.002251100274148945,1h,line,hold,EURUSD.a
421,2018-01-25 14:00:00,0.1566984405314735,1h-S-1243,support,81.62,3,0.002251100274148945,1h,placebo,break,EURUSD.a
28682,2022-08-10 07:00:00,,1h-S-1243,support,81.62,3,0.002251100274148945,1h,random,hold,EURUSD.a
421,2018-01-25 14:00:00,0.2827871711408927,1h-S-1244,support,81.02,3,0.002251100274148945,1h,line,hold,EURUSD.a
421,2018-01-25 14:00:00,0.2827871711408927,1h-S-1244,support,81.02,3,0.002251100274148945,1h,placebo,hold,EURUSD.a
14388,2020-04-24 17:00:00,,1h-S-1244,support,81.02,3,0.002251100274148945,1h,random,break,EURUSD.a
421,2018-01-25 14:00:00,0.2868087159721799,1h-S-1245,support,80.57,3,0.002251100274148945,1h,line,hold,EURUSD.a
421,2018-01-25 14:00:00,0.2868087159721799,1h-S-1245,support,80.57,3,0.002251100274148945,1h,placebo,hold,EURUSD.a
50479,2026-02-12 03:00:00,,1h-S-1245,support,80.57,3,0.002251100274148945,1h,random,break,EURUSD.a
421,2018-01-25 14:00:00,0.20421386271955305,1h-S-1253,support,76.12,3,0.002251100274148945,1h,line,hold,EURUSD.a
421,2018-01-25 14:00:00,0.20421386271955305,1h-S-1253,support,76.12,3,0.002251100274148945,1h,placebo,hold,EURUSD.a
45507,2025-04-24 19:00:00,,1h-S-1253,support,76.12,3,0.002251100274148945,1h,random,break,EURUSD.a
421,2018-01-25 14:00:00,0.29828376566680803,1h-S-1255,support,75.12,3,0.002251100274148945,1h,line,hold,EURUSD.a
421,2018-01-25 14:00:00,0.29828376566680803,1h-S-1255,support,75.12,3,0.002251100274148945,1h,placebo,hold,EURUSD.a
25445,2022-02-02 10:00:00,,1h-S-1255,support,75.12,3,0.002251100274148945,1h,random,hold,EURUSD.a
450,2018-01-26 19:00:00,0.2516257322671519,1h-S-1359,support,67.71,3,0.002986005943960832,1h,line,break,EURUSD.a
450,2018-01-26 19:00:00,0.2516257322671519,1h-S-1359,support,67.71,3,0.002986005943960832,1h,placebo,hold,EURUSD.a
4932,2018-10-16 17:00:00,,1h-S-1359,support,67.71,3,0.002986005943960832,1h,random,break,EURUSD.a
454,2018-01-26 23:00:00,0.2771653176669881,1h-S-1356,support,84.07,4,0.0027972263058482078,1h,line,break,EURUSD.a
454,2018-01-26 23:00:00,0.2771653176669881,1h-S-1356,support,84.07,4,0.0027972263058482078,1h,placebo,hold,EURUSD.a
32932,2023-04-17 14:00:00,,1h-S-1356,support,84.07,4,0.0027972263058482078,1h,random,break,EURUSD.a
454,2018-01-26 23:00:00,0.16696075896698553,1h-S-1357,support,68.32,3,0.0027972263058482078,1h,line,break,EURUSD.a
454,2018-01-26 23:00:00,0.16696075896698553,1h-S-1357,support,68.32,3,0.0027972263058482078,1h,placebo,break,EURUSD.a
46806,2025-07-09 22:00:00,,1h-S-1357,support,68.32,3,0.0027972263058482078,1h,random,hold,EURUSD.a
490,2018-01-30 11:00:00,0.22058691702574754,1h-R-1654,resistance,88.93,4,0.0020954199299507404,1h,line,break,EURUSD.a
490,2018-01-30 11:00:00,0.22058691702574754,1h-R-1654,resistance,88.93,4,0.0020954199299507404,1h,placebo,break,EURUSD.a
5831,2018-12-07 04:00:00,,1h-R-1654,resistance,88.93,4,0.0020954199299507404,1h,random,break,EURUSD.a
490,2018-01-30 11:00:00,0.08457368796170185,1h-R-1655,resistance,88.38,4,0.0020954199299507404,1h,line,break,EURUSD.a
490,2018-01-30 11:00:00,0.08457368796170185,1h-R-1655,resistance,88.38,4,0.0020954199299507404,1h,placebo,break,EURUSD.a
3201,2018-07-06 13:00:00,,1h-R-1655,resistance,88.38,4,0.0020954199299507404,1h,random,break,EURUSD.a
490,2018-01-30 11:00:00,0.13451957575234735,1h-R-1657,resistance,87.43,4,0.0020954199299507404,1h,line,break,EURUSD.a
490,2018-01-30 11:00:00,0.13451957575234735,1h-R-1657,resistance,87.43,4,0.0020954199299507404,1h,placebo,break,EURUSD.a
12136,2019-12-12 21:00:00,,1h-R-1657,resistance,87.43,4,0.0020954199299507404,1h,random,break,EURUSD.a
490,2018-01-30 11:00:00,0.029781650159548086,1h-R-1659,resistance,86.58,4,0.0020954199299507404,1h,line,break,EURUSD.a
490,2018-01-30 11:00:00,0.029781650159548086,1h-R-1659,resistance,86.58,4,0.0020954199299507404,1h,placebo,break,EURUSD.a
