i,side,reason,confluence,agreement,taken,quality,dist_atr
25388,1,bounce_support,0.111,partial,True,95.86,0.4535246890881909
25403,1,bounce_support,0.111,partial,True,95.88,0.2407064328644964
25412,-1,bounce_resistance,-0.111,conflict,True,97.44,0.4449257364914411
25413,-1,bounce_resistance,-0.111,conflict,True,96.07,0.08093424616687335
25434,1,bounce_support,0.111,partial,True,96.13,0.18533708491033368
25531,-1,bounce_resistance,-0.111,conflict,True,96.37,0.35758105436491705
25542,1,bounce_support,0.111,partial,True,93.2,0.283664548701099
25566,1,bounce_support,0.111,partial,True,83.18,0.19376590973882687
25606,1,bounce_support,0.111,partial,True,95.87,0.18171269263517512
25635,-1,bounce_resistance,0.111,partial,True,70.05,0.24515410969194631
25655,-1,bounce_resistance,0.333,partial,True,78.91,0.12379313520353032
25662,-1,bounce_resistance,0.333,partial,True,81.73,0.1242125748885601
25696,1,bounce_support,-0.333,conflict,True,86.06,0.3314259016224006
25766,1,bounce_support,-0.111,conflict,True,81.38,0.3452159524329973
25771,1,bounce_support,-0.111,conflict,True,85.88,0.3913547035488857
25815,-1,bounce_resistance,0.333,partial,True,74.11,0.4001629219547672
25959,-1,bounce_resistance,0.333,partial,True,93.04,0.25912321327225324
26010,-1,bounce_resistance,0.333,partial,True,93.71,0.47972864898143713
26012,-1,bounce_resistance,0.333,partial,True,95.6,0.22844768155875442
26015,-1,bounce_resistance,0.333,partial,True,94.41,0.4033863717307674
26047,1,bounce_support,0.111,partial,True,81.53,0.37500596370529893
26097,-1,bounce_resistance,-0.111,conflict,True,86.32,0.3376131313088858
26143,-1,bounce_resistance,0.111,partial,True,85.68,0.31343726960827145
26188,-1,bounce_resistance,0.333,partial,True,78.52,0.42970333536009525
26270,-1,bounce_resistance,1.0,full,True,93.26,0.2536400573408075
26291,1,bounce_support,-1.0,conflict,True,83.63,0.39962202742984654
26304,1,bounce_support,-1.0,conflict,True,94.67,0.03928257824192669
26372,1,bounce_support,-0.556,conflict,True,81.47,0.39205290688981453
26423,1,bounce_support,-0.556,conflict,True,97.79,0.31345750632540775
