year,trades,net_acct,win_rate_pct,avg_R,worst_acct
2021,297,-3196.98,23.2,-0.089,-155.35
2022,287,-3318.02,22.6,-0.111,-112.4
2023,286,1445.99,22.7,0.068,-104.45
2024,285,1683.36,26.7,0.068,-111.51
2025,270,3621.43,27.0,0.153,-127.94
2026,177,920.02,24.3,0.049,-129.63
