time,cash,unrealised,equity,exposure
2007-01-02 01:00:00,25000.0,0.0,25000.0,0.0
2007-01-02 02:00:00,25000.0,0.0,25000.0,0.0
2007-01-02 03:00:00,25000.0,0.0,25000.0,0.0
2007-01-02 04:00:00,25000.0,0.0,25000.0,0.0
2007-01-02 05:00:00,25000.0,0.0,25000.0,0.0
2007-01-02 06:00:00,25000.0,0.0,25000.0,0.0
2007-01-02 07:00:00,25000.0,0.0,25000.0,0.0
2007-01-02 08:00:00,25000.0,0.0,25000.0,0.0
2007-01-02 09:00:00,25000.0,0.0,25000.0,0.0
2007-01-02 10:00:00,25000.0,0.0,25000.0,0.0
2007-01-02 11:00:00,25000.0,0.0,25000.0,0.0
2007-01-02 12:00:00,25000.0,0.0,25000.0,0.0
2007-01-02 13:00:00,25000.0,0.0,25000.0,0.0
2007-01-02 14:00:00,25000.0,0.0,25000.0,0.0
2007-01-02 15:00:00,25000.0,0.0,25000.0,0.0
2007-01-02 16:00:00,25000.0,0.0,25000.0,0.0
2007-01-02 17:00:00,25000.0,0.0,25000.0,0.0
2007-01-02 18:00:00,25000.0,0.0,25000.0,0.0
2007-01-02 19:00:00,25000.0,0.0,25000.0,0.0
2007-01-02 20:00:00,25000.0,0.0,25000.0,0.0
2007-01-02 21:00:00,25000.0,0.0,25000.0,0.0
2007-01-02 22:00:00,25000.0,0.0,25000.0,0.0
2007-01-02 23:00:00,25000.0,0.0,25000.0,0.0
2007-01-03 00:00:00,25000.0,0.0,25000.0,0.0
2007-01-03 01:00:00,25000.0,0.0,25000.0,0.0
2007-01-03 02:00:00,25000.0,0.0,25000.0,0.0
2007-01-03 03:00:00,25000.0,0.0,25000.0,0.0
2007-01-03 04:00:00,25000.0,0.0,25000.0,0.0
2007-01-03 05:00:00,25000.0,0.0,25000.0,0.0
2007-01-03 06:00:00,25000.0,0.0,25000.0,0.0
2007-01-03 07:00:00,25000.0,0.0,25000.0,0.0
2007-01-03 08:00:00,25000.0,0.0,25000.0,0.0
2007-01-03 09:00:00,25000.0,0.0,25000.0,0.0
2007-01-03 10:00:00,25000.0,0.0,25000.0,0.0
2007-01-03 11:00:00,25000.0,41.087772283549796,25041.08777228355,0.4
2007-01-03 12:00:00,25000.0,155.03051797484846,25155.03051797485,0.4
2007-01-03 13:00:00,25000.0,167.73432284885982,25167.73432284886,0.4
2007-01-03 14:00:00,25000.0,150.78469362716493,25150.784693627164,0.4
2007-01-03 15:00:00,25000.0,146.46656175207082,25146.46656175207,0.4
2007-01-03 16:00:00,25000.0,121.14964550344956,25121.14964550345,0.4
2007-01-03 17:00:00,25000.0,150.95573751960814,25150.95573751961,0.4
2007-01-03 18:00:00,25000.0,248.33199897742705,25248.331998977428,0.4
2007-01-03 19:00:00,25000.0,277.90700959256355,25277.907009592564,0.4
2007-01-03 20:00:00,25000.0,256.7453755626332,25256.745375562634,0.4
2007-01-03 21:00:00,25000.0,151.18440059083198,25151.18440059083,0.4
2007-01-03 22:00:00,25000.0,155.5397780465283,25155.53977804653,0.4
2007-01-03 23:00:00,25000.0,164.08465124106763,25164.084651241068,0.4
2007-01-04 00:00:00,25000.0,180.87780453742633,25180.877804537427,0.4
2007-01-04 01:00:00,25000.0,151.2989921021439,25151.298992102144,0.4
2007-01-04 02:00:00,25000.0,134.5093194450655,25134.509319445064,0.4
2007-01-04 03:00:00,25000.0,155.52012926203534,25155.520129262037,0.4
2007-01-04 04:00:00,25000.0,159.80112044079414,25159.801120440796,0.4
