year,trades,net_acct,win_rate_pct,avg_R,worst_acct
2021,16,25.96,25.0,0.034,-120.38
2022,18,-67.28,27.8,-0.044,-123.7
2023,16,902.03,31.2,0.589,-131.84
2024,23,-1497.66,4.3,-0.688,-112.96
2025,15,-960.75,6.7,-0.693,-121.17
2026,4,-279.01,0.0,-0.649,-114.62
