year,trades,net_acct,win_rate_pct,avg_R,worst_acct
2007,43,270.31,37.2,0.047,-132.43
2008,51,-1340.2,27.5,-0.242,-184.5
2009,50,-745.43,32.0,-0.135,-122.14
2010,53,-1727.92,24.5,-0.305,-115.39
2011,46,-309.44,28.3,-0.058,-123.48
2012,48,-75.93,31.2,0.001,-127.42
2013,53,295.83,32.1,0.07,-149.25
2014,47,1883.1,42.6,0.402,-115.35
2015,55,-2049.56,12.7,-0.351,-165.86
2016,44,2126.83,43.2,0.434,-115.65
2017,50,-429.92,30.0,-0.071,-120.85
2018,48,277.4,37.5,0.056,-123.78
2019,48,-1215.75,33.3,-0.223,-127.22
2020,47,165.55,36.2,0.024,-118.26
2021,51,-222.1,33.3,-0.025,-117.67
2022,47,1717.63,34.0,0.363,-125.76
2023,48,-410.76,33.3,-0.066,-123.28
2024,43,1058.2,37.2,0.228,-121.75
2025,53,-1995.19,24.5,-0.34,-125.08
2026,30,-494.2,30.0,-0.148,-111.24
