year,trades,net_acct,win_rate_pct,avg_R,worst_acct
2021,3,-123.88,0.0,-0.566,-52.6
2022,1,103.72,100.0,1.605,103.72
2023,3,81.98,66.7,0.21,-48.54
2024,1,1028.34,100.0,10.858,1028.34
