time,cash,unrealised,equity,exposure
2021-01-04,25000.0,0.0,25000.0,0.0
2021-01-05,25000.0,0.0,25000.0,0.0
2021-01-06,25000.0,0.0,25000.0,0.0
2021-01-07,25000.0,0.0,25000.0,0.0
2021-01-08,25000.0,0.0,25000.0,0.0
2021-01-11,25000.0,0.0,25000.0,0.0
2021-01-12,25000.0,0.0,25000.0,0.0
2021-01-13,25000.0,0.0,25000.0,0.0
2021-01-14,25000.0,0.0,25000.0,0.0
2021-01-15,25000.0,0.0,25000.0,0.0
2021-01-18,25000.0,0.0,25000.0,0.0
2021-01-19,25000.0,0.0,25000.0,0.0
2021-01-20,25000.0,0.0,25000.0,0.0
2021-01-21,25000.0,0.0,25000.0,0.0
2021-01-22,25000.0,0.0,25000.0,0.0
2021-01-25,25000.0,0.0,25000.0,0.0
2021-01-26,25000.0,0.0,25000.0,0.0
2021-01-27,25000.0,0.0,25000.0,0.0
2021-01-28,25000.0,0.0,25000.0,0.0
2021-01-29,25000.0,0.0,25000.0,0.0
2021-02-01,25000.0,0.0,25000.0,0.0
2021-02-02,25000.0,0.0,25000.0,0.0
2021-02-03,25000.0,0.0,25000.0,0.0
2021-02-04,25000.0,0.0,25000.0,0.0
2021-02-05,25000.0,0.0,25000.0,0.0
2021-02-08,25000.0,0.0,25000.0,0.0
2021-02-09,25000.0,0.0,25000.0,0.0
2021-02-10,25000.0,0.0,25000.0,0.0
2021-02-11,25000.0,0.0,25000.0,0.0
2021-02-12,25000.0,0.0,25000.0,0.0
2021-02-15,25000.0,0.0,25000.0,0.0
2021-02-16,25000.0,0.0,25000.0,0.0
2021-02-17,25000.0,0.0,25000.0,0.0
2021-02-18,25000.0,0.0,25000.0,0.0
2021-02-19,25000.0,0.0,25000.0,0.0
2021-02-22,25000.0,0.0,25000.0,0.0
2021-02-23,25000.0,0.0,25000.0,0.0
2021-02-24,25000.0,0.0,25000.0,0.0
2021-02-25,25000.0,0.0,25000.0,0.0
2021-02-26,25000.0,0.0,25000.0,0.0
2021-03-01,25000.0,0.0,25000.0,0.0
2021-03-02,25000.0,0.0,25000.0,0.0
2021-03-03,25000.0,0.0,25000.0,0.0
2021-03-04,25000.0,0.0,25000.0,0.0
2021-03-05,25000.0,0.0,25000.0,0.0
2021-03-08,25000.0,0.0,25000.0,0.0
2021-03-09,25000.0,0.0,25000.0,0.0
2021-03-10,25000.0,0.0,25000.0,0.0
2021-03-11,25000.0,0.0,25000.0,0.0
2021-03-12,25000.0,0.0,25000.0,0.0
2021-03-15,25000.0,0.0,25000.0,0.0
2021-03-16,25000.0,0.0,25000.0,0.0
2021-03-17,25000.0,0.0,25000.0,0.0
2021-03-18,25000.0,0.0,25000.0,0.0
2021-03-19,25000.0,0.0,25000.0,0.0
2021-03-22,25000.0,0.0,25000.0,0.0
2021-03-23,25000.0,0.0,25000.0,0.0
2021-03-24,25000.0,0.0,25000.0,0.0
2021-03-25,25000.0,0.0,25000.0,0.0
2021-03-26,25000.0,0.0,25000.0,0.0
2021-03-29,25000.0,0.0,25000.0,0.0
2021-03-30,25000.0,0.0,25000.0,0.0
2021-03-31,25000.0,0.0,25000.0,0.0
2021-04-01,25000.0,0.0,25000.0,0.0
2021-04-05,25000.0,0.0,25000.0,0.0
2021-04-06,25000.0,0.0,25000.0,0.0
2021-04-07,25000.0,0.0,25000.0,0.0
2021-04-08,25000.0,0.0,25000.0,0.0
2021-04-09,25000.0,0.0,25000.0,0.0
2021-04-12,25000.0,0.0,25000.0,0.0
2021-04-13,25000.0,0.0,25000.0,0.0
2021-04-14,25000.0,0.0,25000.0,0.0
2021-04-15,25000.0,0.0,25000.0,0.0
2021-04-16,25000.0,0.0,25000.0,0.0
2021-04-19,25000.0,0.0,25000.0,0.0
2021-04-20,25000.0,0.0,25000.0,0.0
2021-04-21,25000.0,0.0,25000.0,0.0
2021-04-22,25000.0,0.0,25000.0,0.0
2021-04-23,25000.0,0.0,25000.0,0.0
2021-04-26,25000.0,0.0,25000.0,0.0
