year,trades,net_acct,win_rate_pct,avg_R,worst_acct
2020,629,-8295.92,33.2,-0.125,-262.4
2021,602,-4139.48,34.4,-0.092,-132.56
2022,625,-3802.83,32.6,-0.12,-97.66
2023,605,-3540.34,31.1,-0.184,-71.16
2024,53,-235.02,28.3,-0.192,-36.75
