i,side,reason,confluence,agreement,taken,quality
60798,1,break_up,-0.778,conflict,True,82.66
60892,1,break_up,0.111,partial,True,70.96
60923,1,break_up,0.111,partial,True,74.37
60992,1,break_up,0.111,partial,True,85.87
61018,-1,break_dn,-0.111,conflict,True,90.94
61038,1,break_up,0.111,partial,True,94.25
61091,1,break_up,0.111,partial,True,72.92
61095,1,break_up,0.111,partial,True,90.61
61117,1,break_up,0.111,partial,True,71.66
61141,1,break_up,0.111,partial,True,64.3
61164,-1,break_dn,-0.111,conflict,True,87.31
61201,-1,break_dn,-0.111,conflict,True,64.65
61235,1,break_up,-0.111,conflict,True,92.16
61279,1,break_up,-0.333,conflict,True,85.09
61297,1,break_up,-0.111,conflict,True,77.7
61311,1,break_up,0.111,partial,True,87.36
61340,1,break_up,0.111,partial,True,94.13
61440,-1,break_dn,-0.111,conflict,True,68.84
61502,1,break_up,-0.333,conflict,True,93.0
61509,1,break_up,-0.333,conflict,True,82.69
61518,1,break_up,-0.111,conflict,True,83.08
61581,-1,break_dn,-0.111,conflict,True,83.69
61584,1,break_up,0.111,partial,True,86.41
61604,1,break_up,0.111,partial,True,80.66
61641,1,break_up,0.111,partial,True,79.63
61694,1,break_up,0.111,partial,True,67.12
61740,-1,break_dn,-0.111,conflict,True,83.39
61757,-1,break_dn,-0.111,conflict,True,84.65
61808,-1,break_dn,-0.111,conflict,True,71.63
61855,1,break_up,-0.111,conflict,True,78.57
61868,-1,break_dn,0.333,partial,True,92.73
61874,-1,break_dn,0.333,partial,True,93.25
61896,1,break_up,0.111,partial,True,78.14
61937,-1,break_dn,-0.111,conflict,True,82.74
61966,-1,break_dn,0.333,partial,True,75.21
62015,-1,break_dn,0.333,partial,True,96.53
62036,1,break_up,-0.333,conflict,True,73.81
62063,-1,break_dn,0.333,partial,True,86.06
62105,-1,break_dn,0.333,partial,True,77.95
62136,-1,break_dn,0.333,partial,True,91.45
62145,-1,break_dn,0.667,partial,True,90.48
62164,-1,break_dn,0.667,partial,True,82.39
62191,-1,break_dn,1.0,full,True,71.32
62210,-1,break_dn,1.0,full,True,72.28
62240,1,break_up,-1.0,conflict,True,86.8
62258,-1,break_dn,1.0,full,True,82.6
62346,-1,break_dn,1.0,full,True,78.25
62400,-1,break_dn,1.0,full,True,87.02
62430,-1,break_dn,1.0,full,True,85.32
62446,-1,break_dn,1.0,full,True,70.28
62504,1,break_up,-1.0,conflict,True,84.25
62549,1,break_up,-1.0,conflict,True,80.19
62600,1,break_up,-0.556,conflict,True,84.33
62652,1,break_up,-0.556,conflict,True,69.91
62682,1,break_up,-0.556,conflict,True,80.91
62748,-1,break_dn,0.556,partial,True,90.96
62778,-1,break_dn,0.556,partial,True,80.12
62807,-1,break_dn,1.0,full,True,84.54
62858,-1,break_dn,1.0,full,True,85.47
62869,-1,break_dn,1.0,full,True,72.44
62949,1,break_up,-1.0,conflict,True,68.19
62957,-1,break_dn,1.0,full,True,90.3
62982,-1,break_dn,1.0,full,True,95.46
62989,-1,break_dn,1.0,full,True,79.87
63057,-1,break_dn,1.0,full,True,80.47
63112,-1,break_dn,1.0,full,True,81.54
63166,-1,break_dn,1.0,full,True,72.13
63190,-1,break_dn,1.0,full,True,69.64
63259,1,break_up,-1.0,conflict,True,73.4
63267,1,break_up,-1.0,conflict,True,79.58
63317,1,break_up,-0.556,conflict,True,97.61
63372,-1,break_dn,0.556,partial,True,95.19
63382,1,break_up,-0.556,conflict,True,66.86
63384,1,break_up,-0.556,conflict,True,66.72
63398,1,break_up,-0.556,conflict,True,68.45
63433,-1,break_dn,0.556,partial,True,93.49
63475,-1,break_dn,1.0,full,True,89.25
63511,1,break_up,-1.0,conflict,True,95.36
63531,1,break_up,-1.0,conflict,True,83.58
63609,1,break_up,-0.556,conflict,True,92.99
63685,1,break_up,-0.556,conflict,True,92.13
63686,1,break_up,-0.556,conflict,True,91.28
63742,-1,break_dn,0.556,partial,True,81.11
63793,1,break_up,-0.556,conflict,True,90.05
63798,1,break_up,-0.556,conflict,True,82.54
63840,1,break_up,-0.222,conflict,True,74.71
63846,-1,break_dn,-0.111,conflict,True,77.39
63886,1,break_up,0.111,partial,True,80.59
63926,-1,break_dn,1.0,full,True,71.97
63985,1,break_up,-1.0,conflict,True,81.21
64002,-1,break_dn,1.0,full,True,81.35
64038,-1,break_dn,1.0,full,True,76.9
64045,-1,break_dn,1.0,full,True,77.82
64084,-1,break_dn,1.0,full,True,91.72
64085,-1,break_dn,1.0,full,True,78.67
64202,1,break_up,-1.0,conflict,True,79.74
64302,1,break_up,-1.0,conflict,True,77.3
64355,-1,break_dn,1.0,full,True,98.14
64461,-1,break_dn,1.0,full,True,83.05
64466,-1,break_dn,1.0,full,True,75.31
64490,-1,break_dn,0.778,partial,True,82.9
64511,-1,break_dn,1.0,full,True,84.83
64536,1,break_up,-1.0,conflict,True,72.37
64563,1,break_up,-0.778,conflict,True,82.02
64608,-1,break_dn,0.556,partial,True,95.0
64621,-1,break_dn,1.0,full,True,84.37
64673,-1,break_dn,1.0,full,True,82.66
64774,-1,break_dn,1.0,full,True,70.78
64829,-1,break_dn,1.0,full,True,95.74
64882,-1,break_dn,1.0,full,True,77.52
64903,1,break_up,-1.0,conflict,True,88.01
65006,1,break_up,-0.556,conflict,True,87.01
65066,1,break_up,-0.556,conflict,True,68.49
65094,1,break_up,-0.556,conflict,True,80.9
65114,-1,break_dn,0.556,partial,True,93.28
65148,-1,break_dn,0.556,partial,True,78.45
65166,-1,break_dn,0.222,partial,True,96.87
65179,1,break_up,-0.222,conflict,True,72.96
65186,1,break_up,-0.222,conflict,True,91.26
65236,1,break_up,0.111,partial,True,70.49
65280,1,break_up,0.111,partial,True,79.15
65353,-1,break_dn,-0.111,conflict,True,84.45
65371,-1,break_dn,-0.111,conflict,True,93.24
65402,1,break_up,0.111,partial,True,83.79
65418,1,break_up,0.111,partial,True,77.59
65449,-1,break_dn,-0.111,conflict,True,84.34
65486,-1,break_dn,-0.111,conflict,True,80.46
65539,-1,break_dn,-0.111,conflict,True,80.68
65548,-1,break_dn,0.111,partial,True,88.93
65621,-1,break_dn,0.333,partial,True,95.23
65636,-1,break_dn,0.333,partial,True,76.45
65649,-1,break_dn,0.333,partial,True,75.23
65744,1,break_up,-1.0,conflict,True,97.56
65828,1,break_up,-1.0,conflict,True,92.8
65845,1,break_up,-1.0,conflict,True,95.59
65846,1,break_up,-1.0,conflict,True,92.49
65902,1,break_up,-1.0,conflict,True,83.34
65960,-1,break_dn,1.0,full,True,78.85
65983,1,break_up,-1.0,conflict,True,82.11
66014,-1,break_dn,1.0,full,True,81.82
66090,1,break_up,-1.0,conflict,True,83.75
66144,-1,break_dn,1.0,full,True,69.88
66150,-1,break_dn,1.0,full,True,70.26
66199,-1,break_dn,1.0,full,True,82.41
66245,-1,break_dn,1.0,full,True,91.04
66259,-1,break_dn,1.0,full,True,91.7
66298,-1,break_dn,1.0,full,True,80.02
66364,1,break_up,-1.0,conflict,True,82.81
66383,1,break_up,-1.0,conflict,True,86.22
