year,trades,net_acct,win_rate_pct,avg_R,worst_acct
2007,692,-13978.03,26.3,-0.236,-160.16
2008,727,-4488.78,27.2,-0.148,-160.07
2009,299,-1540.31,27.8,-0.188,-55.3
