i,side,reason,confluence,agreement,taken,quality
18120,-1,retest,0.111,partial,True,89.6
18160,-1,retest,0.111,partial,True,69.3
18172,-1,retest,0.111,partial,True,72.15
18229,-1,retest,0.111,partial,True,81.59
18292,-1,retest,0.111,partial,True,84.33
18328,1,retest,-0.111,conflict,True,80.11
18414,-1,retest,0.111,partial,True,80.7
18451,-1,retest,0.111,partial,True,79.52
18462,1,retest,-0.111,conflict,True,77.19
18511,1,retest,-0.111,conflict,True,71.76
18541,1,retest,0.333,partial,True,80.06
18570,1,retest,0.333,partial,True,76.59
18574,1,retest,0.333,partial,True,96.61
18613,1,retest,0.333,partial,True,73.26
18780,1,retest,0.333,partial,True,70.68
18871,-1,retest,-0.444,conflict,True,83.75
18881,-1,retest,-0.111,conflict,True,93.83
18907,-1,retest,0.111,partial,True,96.04
18970,1,retest,0.667,partial,True,75.45
19020,1,retest,1.0,full,True,93.98
19123,-1,retest,-0.556,conflict,True,94.32
19185,1,retest,1.0,full,True,92.61
19223,1,retest,1.0,full,True,87.63
19251,-1,retest,-1.0,conflict,True,93.68
19272,-1,retest,-0.778,conflict,True,79.6
19361,1,retest,1.0,full,True,87.8
19444,-1,retest,-1.0,conflict,True,85.71
19491,1,retest,1.0,full,True,85.88
19516,-1,retest,-1.0,conflict,True,78.6
19533,-1,retest,-1.0,conflict,True,78.67
19552,-1,retest,-0.556,conflict,True,69.63
19624,-1,retest,-0.556,conflict,True,92.66
19724,-1,retest,-0.222,conflict,True,92.08
19740,-1,retest,0.111,partial,True,77.89
19745,-1,retest,0.111,partial,True,80.62
19790,-1,retest,0.111,partial,True,72.8
19829,1,retest,-0.111,conflict,True,84.53
19871,-1,retest,0.111,partial,True,72.27
19897,-1,retest,0.111,partial,True,82.13
19979,1,retest,0.333,partial,True,71.76
19997,1,retest,0.333,partial,True,95.5
20013,1,retest,0.333,partial,True,89.97
20021,1,retest,0.667,partial,True,83.43
20074,1,retest,1.0,full,True,79.61
20083,1,retest,1.0,full,True,92.69
20092,1,retest,1.0,full,True,74.52
20108,1,retest,1.0,full,True,81.93
20132,1,retest,1.0,full,True,98.79
20191,-1,retest,-1.0,conflict,True,84.42
20209,-1,retest,-1.0,conflict,True,81.42
20243,-1,retest,-1.0,conflict,True,94.29
20295,-1,retest,-0.556,conflict,True,80.25
20386,-1,retest,-1.0,conflict,True,77.82
20393,-1,retest,-1.0,conflict,True,92.67
20471,1,retest,0.556,partial,True,74.38
20587,-1,retest,-0.556,conflict,True,75.19
20591,-1,retest,-0.556,conflict,True,96.8
20601,-1,retest,-0.556,conflict,True,78.76
20612,-1,retest,-0.222,conflict,True,83.7
20633,-1,retest,-0.222,conflict,True,71.59
20690,-1,retest,0.111,partial,True,75.12
20819,-1,retest,0.111,partial,True,90.1
20908,-1,retest,0.111,partial,True,84.97
20938,1,retest,-0.111,conflict,True,78.49
20953,1,retest,-0.111,conflict,True,94.7
20998,1,retest,0.333,partial,True,81.71
21100,1,retest,0.333,partial,True,74.03
21235,1,retest,1.0,full,True,82.68
21259,1,retest,1.0,full,True,84.74
21275,1,retest,1.0,full,True,79.3
21316,1,retest,1.0,full,True,73.97
21342,1,retest,1.0,full,True,84.5
21410,-1,retest,-1.0,conflict,True,72.89
21417,-1,retest,-1.0,conflict,True,91.61
21465,-1,retest,-0.556,conflict,True,88.1
21493,1,retest,0.556,partial,True,77.53
21520,1,retest,0.556,partial,True,80.22
21608,-1,retest,-0.556,conflict,True,70.2
21674,1,retest,0.556,partial,True,82.48
21707,1,retest,1.0,full,True,75.3
21737,1,retest,1.0,full,True,88.09
21778,1,retest,1.0,full,True,97.3
21813,1,retest,1.0,full,True,91.31
21894,1,retest,1.0,full,True,82.84
21943,1,retest,1.0,full,True,90.35
21985,-1,retest,-1.0,conflict,True,76.83
22013,1,retest,1.0,full,True,80.11
22069,-1,retest,-1.0,conflict,True,82.76
22124,-1,retest,-0.556,conflict,True,93.5
22205,1,retest,1.0,full,True,75.73
22210,1,retest,1.0,full,True,78.88
22254,-1,retest,-1.0,conflict,True,85.38
22282,1,retest,1.0,full,True,77.1
22318,1,retest,1.0,full,True,87.32
22325,1,retest,1.0,full,True,73.49
22361,-1,retest,-0.556,conflict,True,68.99
