i,side,reason,confluence,agreement,taken,quality
32753,1,break_up,0.333,partial,True,92.61
32806,1,break_up,0.333,partial,True,87.15
32820,1,break_up,0.333,partial,True,80.51
32847,1,break_up,0.333,partial,True,73.59
32866,1,break_up,0.333,partial,True,67.01
32886,1,break_up,0.333,partial,True,70.83
32928,-1,break_dn,-1.0,conflict,True,96.45
33013,1,break_up,1.0,full,True,72.14
33038,1,break_up,1.0,full,True,84.67
33045,-1,break_dn,-1.0,conflict,True,87.93
33058,-1,break_dn,-1.0,conflict,True,70.56
33091,1,break_up,1.0,full,True,98.69
33095,1,break_up,1.0,full,True,74.79
33212,-1,break_dn,-1.0,conflict,True,69.12
33243,1,break_up,1.0,full,True,74.32
33268,1,break_up,1.0,full,True,83.2
33321,1,break_up,1.0,full,True,87.45
33348,1,break_up,1.0,full,True,93.2
33378,-1,break_dn,-1.0,conflict,True,90.24
33428,1,break_up,0.778,partial,True,92.04
33457,-1,break_dn,-1.0,conflict,True,82.91
33493,-1,break_dn,-0.556,conflict,True,97.19
33543,1,break_up,0.556,partial,True,92.08
33560,1,break_up,0.556,partial,True,95.54
33566,-1,break_dn,-0.556,conflict,True,66.78
33695,1,break_up,0.222,partial,True,85.92
33704,1,break_up,0.222,partial,True,85.69
33739,1,break_up,0.222,partial,True,96.58
33749,-1,break_dn,0.111,partial,True,71.69
33790,-1,break_dn,0.111,partial,True,71.44
33815,1,break_up,-0.111,conflict,True,93.24
33854,1,break_up,-0.111,conflict,True,70.76
33965,-1,break_dn,-1.0,conflict,True,92.94
34021,-1,break_dn,-1.0,conflict,True,91.73
34068,-1,break_dn,-1.0,conflict,True,67.37
34080,-1,break_dn,-1.0,conflict,True,84.23
34189,1,break_up,0.556,partial,True,89.35
34192,-1,break_dn,-0.556,conflict,True,73.31
34211,-1,break_dn,-0.556,conflict,True,71.52
34315,1,break_up,0.222,partial,True,85.1
34340,-1,break_dn,-0.222,conflict,True,91.66
34395,1,break_up,0.667,partial,True,69.56
34434,-1,break_dn,0.111,partial,True,84.75
34563,1,break_up,-0.111,conflict,True,72.81
34652,-1,break_dn,0.111,partial,True,91.35
34694,-1,break_dn,0.111,partial,True,90.35
34708,1,break_up,-0.111,conflict,True,75.47
34721,1,break_up,-0.111,conflict,True,97.55
34764,-1,break_dn,0.111,partial,True,71.02
34768,-1,break_dn,0.111,partial,True,82.81
34789,1,break_up,-0.111,conflict,True,95.62
34816,1,break_up,0.333,partial,True,80.63
34826,1,break_up,0.333,partial,True,79.88
34908,1,break_up,0.667,partial,True,67.18
34950,1,break_up,1.0,full,True,71.84
35003,1,break_up,1.0,full,True,77.92
35006,1,break_up,1.0,full,True,71.81
35040,-1,break_dn,-1.0,conflict,True,67.37
35140,-1,break_dn,-0.556,conflict,True,74.66
35150,-1,break_dn,-0.556,conflict,True,78.97
35258,1,break_up,0.556,partial,True,81.2
35315,-1,break_dn,-1.0,conflict,True,84.71
35357,1,break_up,1.0,full,True,74.16
35389,1,break_up,1.0,full,True,78.32
35475,-1,break_dn,-1.0,conflict,True,75.85
35515,-1,break_dn,-0.556,conflict,True,69.75
35520,-1,break_dn,-0.556,conflict,True,84.04
35550,-1,break_dn,-0.556,conflict,True,84.2
35567,-1,break_dn,-0.556,conflict,True,95.45
35577,-1,break_dn,-0.556,conflict,True,94.84
35616,-1,break_dn,-0.556,conflict,True,83.89
35657,1,break_up,0.556,partial,True,78.02
35697,1,break_up,0.222,partial,True,90.38
35770,-1,break_dn,-0.222,conflict,True,81.63
35836,1,break_up,0.667,partial,True,69.61
35844,-1,break_dn,-0.667,conflict,True,92.33
35872,1,break_up,0.667,partial,True,69.34
35886,-1,break_dn,-0.667,conflict,True,77.22
35949,1,break_up,-0.111,conflict,True,77.8
36012,1,break_up,0.667,partial,True,80.48
36048,-1,break_dn,-1.0,conflict,True,84.44
36067,1,break_up,1.0,full,True,64.37
36145,1,break_up,1.0,full,True,96.83
36193,-1,break_dn,-1.0,conflict,True,81.37
36207,1,break_up,1.0,full,True,83.65
36229,1,break_up,1.0,full,True,72.51
36231,-1,break_dn,-1.0,conflict,True,79.09
36232,-1,break_dn,-1.0,conflict,True,79.63
36324,1,break_up,1.0,full,True,79.36
36339,1,break_up,1.0,full,True,71.6
36358,-1,break_dn,-1.0,conflict,True,76.48
36419,-1,break_dn,-0.778,conflict,True,83.69
36451,1,break_up,0.556,partial,True,74.66
36468,-1,break_dn,-0.556,conflict,True,82.16
36494,-1,break_dn,-0.556,conflict,True,93.41
36499,-1,break_dn,-0.556,conflict,True,76.24
36500,-1,break_dn,-0.556,conflict,True,80.34
36544,1,break_up,0.556,partial,True,86.42
36607,1,break_up,1.0,full,True,89.47
36633,1,break_up,1.0,full,True,97.73
36639,1,break_up,1.0,full,True,58.71
36721,1,break_up,1.0,full,True,95.24
36724,1,break_up,1.0,full,True,87.21
36752,1,break_up,1.0,full,True,83.18
36828,-1,break_dn,-1.0,conflict,True,81.16
36852,-1,break_dn,-1.0,conflict,True,70.11
36893,-1,break_dn,-1.0,conflict,True,81.65
36902,-1,break_dn,-1.0,conflict,True,79.33
36945,1,break_up,0.556,partial,True,82.23
36975,-1,break_dn,-0.556,conflict,True,81.6
37033,-1,break_dn,-0.556,conflict,True,89.94
37125,-1,break_dn,-0.556,conflict,True,78.95
37197,-1,break_dn,-0.556,conflict,True,79.0
37258,1,break_up,1.0,full,True,94.65
37272,1,break_up,1.0,full,True,80.35
37287,1,break_up,1.0,full,True,88.63
37292,1,break_up,1.0,full,True,69.91
37318,1,break_up,1.0,full,True,83.89
37400,-1,break_dn,-1.0,conflict,True,74.05
37424,-1,break_dn,-1.0,conflict,True,79.87
37428,-1,break_dn,-1.0,conflict,True,70.04
37477,-1,break_dn,-0.556,conflict,True,71.56
37483,-1,break_dn,-0.556,conflict,True,79.88
37591,-1,break_dn,-0.556,conflict,True,76.88
37604,-1,break_dn,-0.556,conflict,True,79.24
37631,-1,break_dn,-0.556,conflict,True,71.98
37735,-1,break_dn,0.111,partial,True,75.15
37744,-1,break_dn,0.111,partial,True,89.07
37760,-1,break_dn,0.111,partial,True,77.02
37790,-1,break_dn,0.111,partial,True,75.75
37814,-1,break_dn,0.111,partial,True,70.76
37855,1,break_up,-0.111,conflict,True,79.96
37891,1,break_up,-0.111,conflict,True,78.87
38031,1,break_up,0.333,partial,True,82.61
38098,1,break_up,0.333,partial,True,79.53
38172,-1,break_dn,-0.333,conflict,True,79.49
38222,-1,break_dn,0.111,partial,True,74.93
38236,-1,break_dn,0.111,partial,True,72.51
38268,1,break_up,-0.111,conflict,True,95.39
38299,-1,break_dn,0.111,partial,True,88.04
38359,1,break_up,-0.111,conflict,True,83.98
38396,-1,break_dn,-0.333,conflict,True,95.41
38407,-1,break_dn,-0.111,conflict,True,74.18
38458,-1,break_dn,0.111,partial,True,75.61
38464,-1,break_dn,0.111,partial,True,78.1
38485,-1,break_dn,0.111,partial,True,68.62
38522,-1,break_dn,0.111,partial,True,74.19
38565,1,break_up,-0.111,conflict,True,74.6
38653,1,break_up,0.333,partial,True,82.29
38685,1,break_up,0.333,partial,True,83.13
38721,-1,break_dn,-0.333,conflict,True,77.11
38725,-1,break_dn,-0.333,conflict,True,80.72
38794,-1,break_dn,-0.333,conflict,True,86.33
38805,1,break_up,0.333,partial,True,80.51
38831,1,break_up,0.667,partial,True,87.46
38880,1,break_up,1.0,full,True,85.25
38949,-1,break_dn,-1.0,conflict,True,70.78
39014,-1,break_dn,-0.556,conflict,True,85.01
39039,-1,break_dn,-0.556,conflict,True,76.88
39076,-1,break_dn,-0.222,conflict,True,81.33
39115,1,break_up,-0.111,conflict,True,77.84
39181,-1,break_dn,0.111,partial,True,79.48
39230,-1,break_dn,0.111,partial,True,73.64
39240,-1,break_dn,0.111,partial,True,78.59
39320,1,break_up,-0.111,conflict,True,83.36
39343,1,break_up,-0.111,conflict,True,90.85
39411,-1,break_dn,0.111,partial,True,70.69
39429,-1,break_dn,0.111,partial,True,90.43
39542,-1,break_dn,0.111,partial,True,66.1
39597,1,break_up,-0.556,conflict,True,80.23
39613,-1,break_dn,0.556,partial,True,74.46
39646,1,break_up,-0.333,conflict,True,69.84
39714,1,break_up,-0.111,conflict,True,71.24
39806,1,break_up,-0.111,conflict,True,69.22
39918,1,break_up,0.556,partial,True,89.36
40002,1,break_up,1.0,full,True,80.08
40043,1,break_up,1.0,full,True,70.92
40069,1,break_up,1.0,full,True,76.95
40111,-1,break_dn,-1.0,conflict,True,90.93
40190,1,break_up,0.556,partial,True,91.39
40238,1,break_up,0.556,partial,True,82.86
40262,-1,break_dn,-0.556,conflict,True,80.02
40264,-1,break_dn,-0.556,conflict,True,80.19
40306,-1,break_dn,-0.556,conflict,True,79.41
40332,-1,break_dn,-0.556,conflict,True,67.56
40384,-1,break_dn,0.111,partial,True,86.34
40486,1,break_up,-0.556,conflict,True,77.85
40537,1,break_up,-0.556,conflict,True,91.28
40584,1,break_up,-0.111,conflict,True,81.77
40614,1,break_up,-0.111,conflict,True,73.55
40690,-1,break_dn,0.111,partial,True,76.54
40746,-1,break_dn,0.333,partial,True,85.91
40771,1,break_up,-0.333,conflict,True,96.33
40800,1,break_up,-0.111,conflict,True,75.25
40814,1,break_up,-0.111,conflict,True,80.97
40835,1,break_up,-0.111,conflict,True,89.09
40848,1,break_up,-0.111,conflict,True,72.82
40946,-1,break_dn,0.333,partial,True,72.66
40958,-1,break_dn,0.556,partial,True,81.22
41004,1,break_up,-0.556,conflict,True,95.41
41048,1,break_up,-0.333,conflict,True,83.21
41092,1,break_up,0.222,partial,True,67.71
41127,1,break_up,0.556,partial,True,91.0
41174,-1,break_dn,-0.556,conflict,True,82.02
41229,1,break_up,0.556,partial,True,93.27
