symbol,tf,side,lots,entry_time,entry_price,exit_time,exit_price,stop_price,target_price,exit_reason,bars_held,gross_ccy,spread_ccy,slippage_ccy,swap_ccy,net_ccy,net_acct,r_multiple,mae_r,mfe_r,tag
USDJPY.a,15m,1,0.64,2020-01-06 09:30:00,108.17004583361663,2020-01-06 10:15:00,108.02343575241675,108.0251453131615,108.30970937367701,stop,3,-9383.04519679241,-3200.0,-109.41188766414139,0.0,-9383.04519679241,-125.11309936081472,-1.0117981684219464,1.0838182852853069,0.04799269430874146,break_up
USDJPY.a,15m,1,0.74,2020-01-06 21:30:00,108.49796909403798,2020-01-06 23:45:00,108.37129012578296,108.37249848671222,108.59900302657555,stop,9,-9374.243650871562,-962.0000000000001,-89.41870876447838,0.0,-9374.243650871562,-124.64243835188418,-1.0096306294757722,1.314802706020756,0.07197626722706134,break_up
USDJPY.a,15m,1,0.75,2020-01-07 05:00:00,108.52495191742975,2020-01-07 08:00:00,108.40075964308598,108.40196952420035,108.62106095159928,stop,12,-9314.420575782733,-3750.0,-90.7410835785845,0.0,-9314.420575782733,-124.239846857877,-1.0098378400566699,1.5038893989057582,0.0,break_up
USDJPY.a,15m,1,0.75,2020-01-07 11:30:00,108.51806441643342,2020-01-07 12:30:00,108.39489344726043,108.3965534008379,108.60789319832419,stop,4,-9237.822687974172,-3750.0,-124.49651831066511,0.0,-9237.822687974172,-123.86254658556604,-1.013660930816336,1.226756403136502,0.0,break_up
USDJPY.a,15m,1,0.72,2020-01-07 17:30:00,108.51715488751792,2020-01-07 17:45:00,108.61441328905066,108.39179335547466,108.61441328905066,target,1,7002.604910357376,-3600.0,-0.0,0.0,7002.604910357376,93.87369283722357,0.7758233323056496,0.4160358179087855,0.9001574138639172,break_up
USDJPY.a,15m,1,0.78,2020-01-07 21:15:00,108.61190071533359,2020-01-07 23:30:00,108.49375521135383,108.49509823417465,108.68980353165071,stop,9,-9215.349310421374,-3900.0,-104.75578002338902,0.0,-9215.349310421374,-123.70596073470631,-1.0114982388001825,2.225130089316509,0.0,break_up
USDJPY.a,15m,-1,0.32,2020-01-08 01:30:00,108.09423964287507,2020-01-08 04:30:00,108.42556140881139,108.37112643111388,107.54574713777225,stop,12,-10602.296509962343,-1600.0,-141.91928632026702,0.0,-10602.296509962343,-142.24367357596753,-1.1965965152897127,1.2198500306689253,1.600797371714178,break_dn
USDJPY.a,15m,1,0.51,2020-01-08 09:15:00,108.48370755165239,2020-01-08 12:45:00,108.68125031780905,108.30737484109548,108.68125031780905,target,14,10074.68107398958,-2550.0,-0.0,0.0,10074.68107398958,134.99332719039776,1.1202842940074207,0.5484379576934867,1.5838947150845568,break_up
USDJPY.a,15m,1,0.28,2020-01-08 13:00:00,108.72947325745167,2020-01-08 21:45:00,109.2226225146465,108.40718874267675,109.2226225146465,target,35,13808.179201455232,-1400.0000000000002,-0.0,0.0,13808.179201455232,183.9692655257685,1.530167397398035,0.36450171220208877,1.5996013426470959,break_up
USDJPY.a,15m,1,0.48,2020-01-09 02:15:00,109.20737963858753,2020-01-09 12:00:00,109.4369610786565,109.01701946067175,109.4369610786565,target,39,11019.909123310526,-2400.0,-0.0,0.0,11019.909123310526,146.72888013582022,1.206037116494732,0.30667989086117436,1.3007991698874564,break_up
USDJPY.a,15m,1,1.09,2020-01-10 07:00:00,109.5995077659497,2020-01-10 11:45:00,109.62231475705873,109.51384262147063,109.62231475705873,target,19,2485.962030884906,-5450.000000000001,-0.0,0.0,2485.962030884906,32.97344567918953,0.26623419884162175,0.6946555254363874,0.5777406242792227,break_up
USDJPY.a,15m,1,1.38,2020-01-10 12:00:00,109.65451995592949,2020-01-10 15:30:00,109.5857939458063,109.58680517023124,109.74638965953751,stop,14,-9484.189396999624,-6900.0,-139.54897064246688,0.0,-9484.189396999624,-125.7276350283692,-1.014933583773698,2.208084311095611,0.4944273798592841,break_up
USDJPY.a,15m,-1,1.52,2020-01-10 22:45:00,109.49730167320915,2020-01-13 01:00:00,109.57257870781879,109.55863488184796,109.37373023630407,stop,9,-11442.109260665462,-1976.0000000000002,-143.46154756487266,-2386.3999999999996,-13828.509260665462,-182.94416070615043,-1.4833242321528786,1.054866168372986,0.5103544051231643,break_dn
USDJPY.a,15m,1,0.95,2020-01-13 10:45:00,109.72745413694832,2020-01-13 11:00:00,109.77366098712514,109.63016950643743,109.77366098712514,target,1,4389.650766797501,-4750.0,-0.0,0.0,4389.650766797501,57.86834582588188,0.4749655719938132,0.6111359691257451,1.5988739663686684,break_up
USDJPY.a,15m,1,0.89,2020-01-14 02:00:00,110.06170703455027,2020-01-14 02:00:00,110.11756358701999,109.95771820649,110.11756358701999,target,0,4971.233169805089,-4450.0,-0.0,0.0,4971.233169805089,65.3589208230862,0.5371399361991888,0.6030170328867416,0.5990351714861762,break_up
USDJPY.a,15m,1,0.79,2020-01-14 06:00:00,110.12782164337924,2020-01-14 09:45:00,110.00832693409077,110.00952689496388,110.21194621007223,stop,15,-9440.082033788372,-3950.0,-94.7969089758994,0.0,-9440.082033788372,-124.29766622261786,-1.0101438220139374,1.3679528934882197,0.0437750338888955,break_up
USDJPY.a,15m,1,0.75,2020-01-14 15:30:00,110.12392513833942,2020-01-14 15:30:00,110.00007022806028,110.00145793556942,110.21608412886114,stop,0,-9289.118270935149,-3750.0,-104.07806318528327,0.0,-9289.118270935149,-122.35300124995582,-1.0113312583103973,1.248702794548336,0.0,break_up
USDJPY.a,15m,-1,1.64,2020-01-15 01:30:00,109.91306737892128,2020-01-15 02:30:00,110.02073603591799,109.96928160323516,109.80043679352967,stop,4,-17657.659747460115,-8200.0,-238.52695998491635,0.0,-17657.659747460115,-232.9806881858505,-1.915327629454274,1.0661469016111813,1.726740519966933,break_dn
USDJPY.a,15m,-1,1.28,2020-01-15 11:30:00,109.86032989662111,2020-01-15 16:45:00,109.98246592106446,109.93123954091459,109.7235209181708,stop,21,-15633.411128748776,-6400.0,-156.97665918444855,0.0,-15633.411128748776,-206.30112156764912,-1.722417671958074,1.2363636040259374,0.9918241350925944,break_dn
USDJPY.a,15m,1,1.15,2020-01-16 07:45:00,109.98941523530797,2020-01-16 10:30:00,109.99540425823923,109.91079787088037,109.99540425823923,target,11,688.7376370949028,-5750.0,-0.0,0.0,688.7376370949028,9.052513690038566,0.07617939083642745,0.7175925537407157,1.0123051729280466,break_up
USDJPY.a,15m,1,0.64,2020-01-16 15:45:00,110.07170189933616,2020-01-17 01:00:00,110.19928146697158,109.9303592665142,110.19928146697158,target,37,8165.092328667015,-832.0000000000001,-0.0,192.63999999999996,8357.732328667014,109.9612506846442,0.9239219974055326,0.8115166460826492,1.0916600149807327,break_up
USDJPY.a,15m,1,0.84,2020-01-17 01:15:00,110.272630964057,2020-01-17 02:00:00,110.16374326167254,110.16473219463532,110.33353561072937,stop,3,-9146.567000295021,-4200.0,-83.07036887371059,0.0,-9146.567000295021,-120.2915169059762,-1.0091653775857168,1.0994654034781546,0.0,break_up
USDJPY.a,15m,1,1.04,2020-01-17 08:30:00,110.29552110464074,2020-01-17 09:00:00,110.20772755416533,110.20855107470834,110.31489785058332,stop,2,-9130.529249442701,-5200.0,-85.64613647265982,0.0,-9130.529249442701,-119.93224055476796,-1.009469015287776,1.1098202991969133,0.0,break_up
USDJPY.a,15m,-1,1.32,2020-01-17 17:15:00,110.07507656926434,2020-01-17 17:15:00,110.19476843808405,110.14338329198057,109.94123341603884,stop,0,-15799.326684202299,-6600.0,-182.83928565992017,0.0,-15799.326684202299,-208.45637677626206,-1.752270699868836,1.155426985767307,0.0,break_dn
USDJPY.a,15m,1,0.95,2020-01-20 02:00:00,110.23962909629432,2020-01-20 09:30:00,110.14554171941664,110.14612316137693,110.27175367724614,stop,30,-8938.300803379703,-1235.0,-55.2369862280687,0.0,-8938.300803379703,-118.0312084322169,-1.006218235888518,1.0227061670342594,0.0,break_up
USDJPY.a,15m,1,1.89,2020-01-20 13:15:00,110.20338790524248,2020-01-20 17:00:00,110.15587417240363,110.15639821973743,110.26020356052516,stop,15,-8980.095506542895,-2457.0,-99.04494608786464,0.0,-8980.095506542895,-118.72411315397585,-1.0111523907462923,1.4128186756078456,0.0,break_up
USDJPY.a,15m,1,1.2,2020-01-21 02:30:00,110.24233512587094,2020-01-21 03:00:00,110.16801182135379,110.1686858744573,110.23562825108542,stop,2,-8918.79654205809,-6000.0,-80.886372420315,0.0,-8918.79654205809,-118.24827318392667,-1.0091522057668105,1.4302267008708045,0.0,break_up
USDJPY.a,15m,-1,1.44,2020-01-21 08:45:00,109.91016849224404,2020-01-21 09:15:00,110.02229196782933,109.97099718611436,109.79100562777128,stop,2,-16145.780484282113,-7200.0,-186.4485669569441,0.0,-16145.780484282113,-214.10195893552125,-1.843266203024626,1.115123528717608,0.3644413653085384,break_dn
USDJPY.a,15m,-1,1.06,2020-01-21 17:30:00,109.93608320746618,2020-01-21 20:45:00,109.82622653831592,110.01738673084203,109.77622653831592,target,13,11644.806929927683,-5300.0,-0.0,0.0,11644.806929927683,154.86564510574902,1.3511919851543703,0.4909601807696354,2.067354531354865,break_dn
USDJPY.a,15m,-1,1.63,2020-01-22 16:15:00,109.9343061503594,2020-01-23 00:00:00,109.84233707167235,109.98783146416383,109.82933707167234,target,31,14990.95982599037,-2119.0,-0.0,-2559.0999999999995,12431.85982599037,165.44553396386857,1.4249160493618178,0.21847325703350018,2.191601356846343,break_dn
USDJPY.a,15m,-1,1.93,2020-01-23 00:45:00,109.8163838159314,2020-01-23 01:30:00,109.77440330870787,109.86179834564606,109.72440330870788,target,3,8102.237894140855,-9650.0,-0.0,0.0,8102.237894140855,107.92025590024387,0.9243849377564737,0.5200138417590224,3.421456016558382,break_dn
USDJPY.a,15m,-1,1.73,2020-01-23 01:45:00,109.76020264022327,2020-01-23 02:45:00,109.71081748823552,109.81109125588223,109.66081748823552,target,4,8543.631293880664,-8650.0,-0.0,0.0,8543.631293880664,113.37149256838799,0.9704557954319548,0.4283346971512274,2.0673118901150556,break_dn
USDJPY.a,15m,-1,0.72,2020-01-23 03:15:00,109.60292801379705,2020-01-23 16:45:00,109.40832456276007,109.72533771861995,109.35832456276007,target,54,14011.448474662757,-3600.0,-0.0,0.0,14011.448474662757,186.6516618755215,1.5897714263630613,0.6541310292251676,2.1070879483797573,break_dn
USDJPY.a,15m,-1,0.98,2020-01-23 17:45:00,109.33878063653037,2020-01-23 20:15:00,109.44385763769434,109.42911201649689,109.16477596700621,stop,10,-10297.546114068355,-1274.0,-171.07087734918366,0.0,-10297.546114068355,-137.54890596162352,-1.1632391888944331,1.408362891353824,0.8057071258885624,break_dn
USDJPY.a,15m,-1,1.32,2020-01-23 22:45:00,109.48410912992946,2020-01-24 01:30:00,109.60191707894197,109.55081608072118,109.35336783855765,stop,11,-15550.649269650194,-6600.0,-145.33176514432438,-2072.3999999999996,-17623.049269650193,-234.86039580408482,-2.00140985951181,1.3025759540687791,0.4063913821232434,break_dn
USDJPY.a,15m,1,1.49,2020-01-24 08:00:00,109.55962545036178,2020-01-24 10:30:00,109.63644850049825,109.50077574975089,109.63644850049825,target,10,11446.63447033379,-7450.0,-0.0,0.0,11446.63447033379,152.34911625505686,1.3054110613818384,0.8942348018000497,1.4337294627223678,break_up
USDJPY.a,15m,-1,0.96,2020-01-24 17:15:00,109.3900311687381,2020-01-24 21:15:00,109.25706292703978,109.48146853648011,109.20706292703979,target,16,12764.95120303889,-4800.0,-0.0,0.0,12764.95120303889,171.23389525361236,1.4542002354387649,0.8417656059289333,2.373550049586638,break_dn
