year,trades,net_acct,win_rate_pct,avg_R,worst_acct
2021,40,259.34,27.5,0.061,-125.16
2022,46,252.63,32.6,0.089,-129.21
2023,44,450.33,34.1,0.102,-133.49
2024,43,712.48,30.2,0.142,-130.24
2025,37,2036.09,45.9,0.459,-137.47
2026,22,1321.55,45.5,0.492,-151.0
