year,trades,net_acct,win_rate_pct,avg_R,worst_acct
2020,733,-14687.92,37.4,-0.24,-417.73
2021,730,-5235.86,37.3,-0.193,-121.73
2022,3,-78.55,0.0,-1.073,-43.24
