i,side,reason,confluence,agreement,taken,quality,dist_atr
29670,1,bounce_support,-0.556,conflict,True,92.42,0.23032557156083985
29751,1,bounce_support,-0.556,conflict,True,82.8,0.3127529469740291
29781,1,bounce_support,-0.556,conflict,True,96.93,0.292840920545799
29820,-1,bounce_resistance,1.0,full,True,72.7,0.3159956201918229
29945,-1,bounce_resistance,1.0,full,True,96.8,0.18941101231003374
30015,-1,bounce_resistance,1.0,full,True,94.63,0.2645973986497682
30055,1,bounce_support,-0.556,conflict,True,93.69,0.3124135519737261
30094,1,bounce_support,-0.556,conflict,True,85.43,0.14810829520141358
30104,-1,bounce_resistance,0.556,partial,True,86.66,0.19049284735587846
30107,-1,bounce_resistance,0.556,partial,True,81.02,0.26042456358730287
30119,-1,bounce_resistance,0.556,partial,True,75.0,0.3054488395750691
30124,-1,bounce_resistance,0.556,partial,True,83.45,0.08500332410916961
30141,-1,bounce_resistance,0.778,partial,True,96.4,0.2731175062689314
30170,-1,bounce_resistance,1.0,full,True,96.56,0.1488969984400009
30222,-1,bounce_resistance,1.0,full,True,83.19,0.456075221188387
30260,-1,bounce_resistance,1.0,full,True,97.26,0.12605987487034825
30339,1,bounce_support,-0.556,conflict,True,72.67,0.2215367728002751
30355,1,bounce_support,-0.556,conflict,True,97.04,0.2125714548312559
30397,-1,bounce_resistance,1.0,full,True,69.43,0.30362553856894153
30411,-1,bounce_resistance,1.0,full,True,86.71,0.33512144613771566
30415,-1,bounce_resistance,1.0,full,True,94.83,0.06990046597150995
30429,-1,bounce_resistance,1.0,full,True,99.11,0.023462604613205956
30431,-1,bounce_resistance,1.0,full,True,98.41,0.2440255242743631
30432,-1,bounce_resistance,1.0,full,True,98.67,0.1557304995944372
30436,-1,bounce_resistance,1.0,full,True,98.17,0.010922776039873735
30444,-1,bounce_resistance,1.0,full,True,85.05,0.3654833678550447
30451,-1,bounce_resistance,1.0,full,True,96.5,0.49981951791211615
30471,-1,bounce_resistance,1.0,full,True,95.15,0.29934177111179266
30481,-1,bounce_resistance,1.0,full,True,95.1,0.36145752877323123
30503,-1,bounce_resistance,1.0,full,True,93.95,0.37041219483353316
30552,-1,bounce_resistance,1.0,full,True,92.43,0.28367375782946985
30580,-1,bounce_resistance,1.0,full,True,96.08,0.13351010035429553
30593,-1,bounce_resistance,1.0,full,True,96.22,0.20672827520365625
30628,-1,bounce_resistance,1.0,full,True,85.48,0.09477616763050555
30649,-1,bounce_resistance,1.0,full,True,82.57,0.08125397925086555
30681,1,bounce_support,-1.0,conflict,True,85.23,0.282701353818056
30723,1,bounce_support,-1.0,conflict,True,86.16,0.27853333472016223
30761,-1,bounce_resistance,1.0,full,True,96.4,0.1812577636476544
30781,-1,bounce_resistance,1.0,full,True,95.37,0.33414444485638145
30817,-1,bounce_resistance,1.0,full,True,100.0,0.37230979101647604
30831,-1,bounce_resistance,1.0,full,True,94.77,0.14921179643856375
30907,-1,bounce_resistance,1.0,full,True,82.26,0.4741895983191084
30916,-1,bounce_resistance,1.0,full,True,97.52,0.0841184343088729
31004,1,bounce_support,-1.0,conflict,True,96.89,0.03512684515763761
31045,-1,bounce_resistance,1.0,full,True,98.36,0.3094948026308896
31107,1,bounce_support,-0.556,conflict,True,97.32,0.1813053821123863
31112,1,bounce_support,-0.556,conflict,True,98.12,0.2863140770781101
31117,1,bounce_support,-0.556,conflict,True,97.84,0.4482894535188017
31137,1,bounce_support,-0.556,conflict,True,96.95,0.17232729056879154
31162,1,bounce_support,-0.556,conflict,True,93.38,0.2284796348639207
31211,-1,bounce_resistance,0.556,partial,True,93.36,0.22152119588322905
31262,-1,bounce_resistance,1.0,full,True,87.59,0.03890372365789322
31284,1,bounce_support,-0.556,conflict,True,95.24,0.033095638056068334
31309,1,bounce_support,-0.556,conflict,True,93.63,0.11300874613255109
31310,1,bounce_support,-0.556,conflict,True,94.69,0.3288658468029875
31373,1,bounce_support,-0.556,conflict,True,67.72,0.3211409531933282
31391,1,bounce_support,0.111,partial,True,93.96,0.4573703219167189
31392,1,bounce_support,0.111,partial,True,95.96,0.4827710515992658
31411,1,bounce_support,0.111,partial,True,97.2,0.286931829391555
31428,1,bounce_support,0.111,partial,True,94.22,0.1669708358490952
31431,1,bounce_support,0.111,partial,True,95.63,0.010471215293920462
31432,1,bounce_support,0.111,partial,True,97.51,0.4700910611060193
31436,1,bounce_support,0.111,partial,True,98.15,0.34520177202714847
31509,-1,bounce_resistance,-0.111,conflict,True,79.28,0.04860627585764222
31511,-1,bounce_resistance,-0.111,conflict,True,85.45,0.2618224871005408
31527,-1,bounce_resistance,-0.111,conflict,True,90.23,0.11709589865457076
31534,1,bounce_support,0.111,partial,True,93.22,0.41307258336600666
31537,1,bounce_support,0.111,partial,True,91.95,0.2398013677990524
31579,1,bounce_support,0.111,partial,True,82.51,0.061512690044833
31627,-1,bounce_resistance,-0.111,conflict,True,68.66,0.33176615085498223
31640,-1,bounce_resistance,-0.111,conflict,True,93.0,0.18924291468646032
31659,-1,bounce_resistance,-0.111,conflict,True,97.76,0.14397990573684996
31678,1,bounce_support,0.111,partial,True,96.77,0.019875485802344512
31714,-1,bounce_resistance,-0.111,conflict,True,81.02,0.09929615649303174
31716,-1,bounce_resistance,-0.111,conflict,True,90.55,0.4534930168182989
31729,-1,bounce_resistance,-0.111,conflict,True,97.73,0.3521491592253081
31751,1,bounce_support,0.111,partial,True,96.66,0.4738179596329004
31817,-1,bounce_resistance,-0.111,conflict,True,84.69,0.4320914769934381
31875,1,bounce_support,0.111,partial,True,73.31,0.26800056079373563
31906,1,bounce_support,0.111,partial,True,96.79,0.36681457931819567
31923,1,bounce_support,0.111,partial,True,93.79,0.3239701168759632
31969,1,bounce_support,0.111,partial,True,79.85,0.38715336288132995
32059,-1,bounce_resistance,-0.111,conflict,True,98.39,0.29845096435024926
32125,1,bounce_support,0.111,partial,True,94.42,0.45842776468127744
32134,1,bounce_support,0.111,partial,True,96.53,0.12985041743653497
32224,1,bounce_support,0.111,partial,True,83.65,0.19946274895682062
32254,1,bounce_support,0.111,partial,True,83.42,0.3445442969483911
32256,1,bounce_support,0.111,partial,True,83.65,0.47365738842746274
32306,1,bounce_support,0.111,partial,True,81.94,0.10049438132357019
32309,1,bounce_support,0.111,partial,True,83.39,0.17216827422972175
32322,-1,bounce_resistance,-0.111,conflict,True,69.37,0.1717435068276256
32351,-1,bounce_resistance,-0.111,conflict,True,86.95,0.22108718473367078
32413,-1,bounce_resistance,0.111,partial,True,85.99,0.40458629262647694
32435,1,bounce_support,-0.111,conflict,True,88.77,0.12426029002427198
32475,1,bounce_support,0.111,partial,True,94.41,0.4047551400608374
32480,1,bounce_support,0.111,partial,True,92.14,0.12479919733514541
32495,1,bounce_support,0.111,partial,True,96.13,0.09536029244409742
32513,1,bounce_support,0.111,partial,True,96.66,0.4399376836919282
32546,-1,bounce_resistance,0.333,partial,True,99.92,0.19348535108634782
32611,1,bounce_support,0.111,partial,True,83.26,0.14862636053281011
32613,1,bounce_support,0.111,partial,True,85.05,0.28699571142886654
32644,1,bounce_support,0.556,partial,True,85.79,0.03374437248016484
32715,-1,bounce_resistance,-0.556,conflict,True,73.07,0.3136381067793148
32790,-1,bounce_resistance,-0.556,conflict,True,88.19,0.118098811896558
32801,1,bounce_support,0.556,partial,True,86.74,0.36173612339570194
32890,-1,bounce_resistance,-0.778,conflict,True,97.14,0.27840400735304827
32896,-1,bounce_resistance,-0.556,conflict,True,100.0,0.2351617251338378
32901,-1,bounce_resistance,-0.556,conflict,True,99.56,0.300283704781285
32965,1,bounce_support,1.0,full,True,86.59,0.41123980016455614
32980,-1,bounce_resistance,-1.0,conflict,True,87.37,0.13476340810817442
32991,1,bounce_support,1.0,full,True,85.85,0.31966797249425466
32993,1,bounce_support,1.0,full,True,86.27,0.058997194232207915
33029,1,bounce_support,1.0,full,True,87.03,0.2182839581062854
33082,-1,bounce_resistance,-1.0,conflict,True,79.33,0.29152197416941994
33108,-1,bounce_resistance,-0.556,conflict,True,88.16,0.28674147181973314
33110,-1,bounce_resistance,-0.556,conflict,True,100.0,0.46668659067301926
33115,-1,bounce_resistance,-0.556,conflict,True,86.81,0.40147475058333215
33212,1,bounce_support,0.556,partial,True,77.36,0.27381210097709235
33269,-1,bounce_resistance,-0.222,conflict,True,69.04,0.1407537187276044
33296,-1,bounce_resistance,-0.222,conflict,True,82.52,0.2917017374995744
33382,-1,bounce_resistance,0.111,partial,True,94.12,0.45855638727423
33479,1,bounce_support,0.333,partial,True,86.16,0.06046466244496489
33483,1,bounce_support,0.333,partial,True,87.13,0.1802694136321499
33521,1,bounce_support,0.333,partial,True,95.34,0.49242438136866945
33537,1,bounce_support,0.333,partial,True,96.64,0.34533174665482386
33605,1,bounce_support,1.0,full,True,97.8,0.4159019357296271
33678,1,bounce_support,1.0,full,True,98.8,0.04422268555335761
33684,1,bounce_support,1.0,full,True,97.21,0.17910138184134342
33717,-1,bounce_resistance,-1.0,conflict,True,78.72,0.3797552225072576
33721,-1,bounce_resistance,-1.0,conflict,True,82.62,0.31748977355604885
33740,-1,bounce_resistance,-1.0,conflict,True,94.83,0.42089326702810215
33768,1,bounce_support,1.0,full,True,92.81,0.3569013812323345
33835,-1,bounce_resistance,-0.778,conflict,True,78.76,0.3562456797661784
33855,-1,bounce_resistance,-0.556,conflict,True,82.52,0.476755313393941
33875,-1,bounce_resistance,-0.556,conflict,True,97.3,0.24039021844036693
33982,-1,bounce_resistance,-0.556,conflict,True,90.53,0.3612208516625222
34057,1,bounce_support,1.0,full,True,81.7,0.2777426425428546
34141,1,bounce_support,1.0,full,True,82.01,0.4502306106348962
34183,1,bounce_support,1.0,full,True,93.01,0.46294436767562186
34206,1,bounce_support,1.0,full,True,75.14,0.13146113458699626
34243,1,bounce_support,1.0,full,True,83.51,0.3193019108555205
34289,1,bounce_support,1.0,full,True,96.33,0.3857267902868858
34371,-1,bounce_resistance,-1.0,conflict,True,91.25,0.2124183578454546
34420,1,bounce_support,0.556,partial,True,93.44,0.3950571556079379
34492,1,bounce_support,1.0,full,True,88.57,0.03235375582782712
34501,1,bounce_support,1.0,full,True,96.77,0.06700614171564309
34502,1,bounce_support,1.0,full,True,90.39,0.36639709319237934
34553,-1,bounce_resistance,-0.556,conflict,True,81.13,0.3877526941439935
34634,1,bounce_support,0.778,partial,True,96.93,0.41366590117336766
