time,cash,unrealised,equity,exposure
2007-01-02,25000.0,0.0,25000.0,0.0
2007-01-03,25000.0,0.0,25000.0,0.0
2007-01-04,25000.0,0.0,25000.0,0.0
2007-01-05,25000.0,0.0,25000.0,0.0
2007-01-08,25000.0,0.0,25000.0,0.0
2007-01-09,25000.0,0.0,25000.0,0.0
2007-01-10,25000.0,0.0,25000.0,0.0
2007-01-11,25000.0,0.0,25000.0,0.0
2007-01-12,25000.0,0.0,25000.0,0.0
2007-01-15,25000.0,0.0,25000.0,0.0
2007-01-16,25000.0,0.0,25000.0,0.0
2007-01-17,25000.0,0.0,25000.0,0.0
2007-01-18,25000.0,0.0,25000.0,0.0
2007-01-19,25000.0,0.0,25000.0,0.0
2007-01-22,25000.0,0.0,25000.0,0.0
2007-01-23,25000.0,0.0,25000.0,0.0
2007-01-24,25000.0,0.0,25000.0,0.0
2007-01-25,25000.0,0.0,25000.0,0.0
2007-01-26,25000.0,0.0,25000.0,0.0
2007-01-29,25000.0,0.0,25000.0,0.0
2007-01-30,25000.0,0.0,25000.0,0.0
2007-01-31,25000.0,0.0,25000.0,0.0
2007-02-01,25000.0,0.0,25000.0,0.0
2007-02-02,25000.0,0.0,25000.0,0.0
2007-02-05,25000.0,0.0,25000.0,0.0
2007-02-06,25000.0,0.0,25000.0,0.0
2007-02-07,25000.0,0.0,25000.0,0.0
2007-02-08,25000.0,0.0,25000.0,0.0
2007-02-09,25000.0,0.0,25000.0,0.0
2007-02-12,25000.0,0.0,25000.0,0.0
2007-02-13,25000.0,0.0,25000.0,0.0
2007-02-14,25000.0,0.0,25000.0,0.0
2007-02-15,25000.0,0.0,25000.0,0.0
2007-02-16,25000.0,0.0,25000.0,0.0
2007-02-17,25000.0,0.0,25000.0,0.0
2007-02-19,25000.0,0.0,25000.0,0.0
2007-02-20,25000.0,0.0,25000.0,0.0
2007-02-21,25000.0,0.0,25000.0,0.0
2007-02-22,25000.0,0.0,25000.0,0.0
2007-02-23,25000.0,0.0,25000.0,0.0
